image,colour_hex,colour_name,colour_family,colour_role,colour_share,chromatic,slot,n_match,n_near,best_delta_e,match_ids,near_ids
content/swipe/fashion shows ss27/IMG_0036.png,5B4528,chocolate,brown,secondary,0.295,True,top,21,41,4.3,B032-P004;B052-P001;B041-P009;B032-P002;B051-P004;B059-P005;B055-P002;B027-P004,B030-P002;B026-P010;B059-P004;B007-P003;B021-P024;B014-P001;B031-P005;B054-P004
content/swipe/fashion shows ss27/IMG_0036.png,5B4528,chocolate,brown,secondary,0.295,True,bottom,3,11,9.4,B042-P041;B020-P003;B052-P003,B052-P004;B050-P003;B042-P040;B050-P002;B021-P011;B020-P004;B021-P010;B020-P001
content/swipe/fashion shows ss27/IMG_0036.png,5B4528,chocolate,brown,secondary,0.295,True,dress,0,5,14.7,,B041-P007;B041-P006;B042-P010;B033-P004;B042-P031
content/swipe/fashion shows ss27/IMG_0036.png,5B4528,chocolate,brown,secondary,0.295,True,shoes,2,6,5.8,B029-P002;B039-P003,B001-P004;B009-P004;B055-P001;B062-P017;B053-P001;B037-P004
content/swipe/fashion shows ss27/IMG_0036.png,5B4528,chocolate,brown,secondary,0.295,True,bag,1,3,10.5,B054-P003,B043-P005;B056-P004;B053-P004
content/swipe/fashion shows ss27/IMG_0036.png,5B4528,chocolate,brown,secondary,0.295,True,accessory,0,8,13.9,,B031-P009;B032-P001;B037-P009;B019-P002;B055-P003;B025-P008;B021-P001;B037-P008
content/swipe/fashion shows ss27/IMG_0036.png,5B4528,chocolate,brown,secondary,0.295,True,base,1,4,7.9,B062-P007,B003-P001;B062-P008;B002-P001;B005-P001
content/swipe/fashion shows ss27/IMG_0036.png,5B4528,chocolate,brown,secondary,0.295,True,multiple,12,70,1.5,B021-P026;B022-P014;B020-P005;B022-P020;B049-P003;B046-P006;B039-P004;B036-P001,B006-P001;B022-P007;B033-P002;B023-P008;B026-P007;B042-P007;B023-P001;B056-P006
content/swipe/fashion shows ss27/IMG_0036.png,996C2E,ochre,yellow,accent,0.168,True,layer,3,11,6.6,B021-P016;B021-P021;B021-P014,B027-P008;B021-P002;B054-P007;B021-P013;B021-P022;B042-P018;B040-P002;B040-P003
content/swipe/fashion shows ss27/IMG_0036.png,996C2E,ochre,yellow,accent,0.168,True,top,8,14,7.1,B021-P005;B047-P002;B047-P003;B032-P004;B062-P009;B050-P004;B030-P001;B051-P004,B062-P005;B055-P002;B042-P001;B040-P001;B050-P005;B029-P001;B032-P002;B042-P028
content/swipe/fashion shows ss27/IMG_0036.png,996C2E,ochre,yellow,accent,0.168,True,bottom,4,6,8.3,B052-P004;B050-P002;B050-P003;B042-P041,B042-P040;B052-P003;B044-P010;B015-P004;B051-P002;B020-P003
content/swipe/fashion shows ss27/IMG_0036.png,996C2E,ochre,yellow,accent,0.168,True,dress,0,1,19.6,,B042-P010
content/swipe/fashion shows ss27/IMG_0036.png,996C2E,ochre,yellow,accent,0.168,True,shoes,0,1,12.8,,B029-P002
content/swipe/fashion shows ss27/IMG_0036.png,996C2E,ochre,yellow,accent,0.168,True,accessory,0,1,19.5,,B019-P002
content/swipe/fashion shows ss27/IMG_0036.png,996C2E,ochre,yellow,accent,0.168,True,base,1,2,11.8,B062-P007,B003-P001;B026-P009
content/swipe/fashion shows ss27/IMG_0036.png,996C2E,ochre,yellow,accent,0.168,True,multiple,10,20,6.5,B022-P022;B047-P001;B062-P019;B023-P001;B046-P011;B042-P007;B042-P005;B022-P014,B044-P003;B044-P020;B042-P006;B046-P008;B024-P008;B021-P026;B022-P020;B062-P020
content/swipe/fashion shows ss27/IMG_0036.png,8A7554,tobacco,brown,accent,0.096,True,layer,9,15,5.3,B021-P016;B021-P014;B021-P021;B021-P002;B042-P018;B027-P008;B041-P005;B040-P002,B041-P004;B040-P003;B021-P018;B060-P005;B043-P003;B043-P002;B021-P013;B037-P007
content/swipe/fashion shows ss27/IMG_0036.png,8A7554,tobacco,brown,accent,0.096,True,top,11,22,3.0,B032-P004;B030-P001;B042-P028;B062-P009;B031-P005;B062-P005;B055-P002;B021-P005,B029-P001;B027-P004;B051-P004;B016-P003;B062-P002;B050-P004;B032-P002;B050-P005
content/swipe/fashion shows ss27/IMG_0036.png,8A7554,tobacco,brown,accent,0.096,True,bottom,5,8,4.6,B042-P041;B042-P040;B044-P010;B020-P003;B050-P003,B052-P004;B050-P002;B052-P003;B007-P002;B051-P002;B021-P010;B015-P004;B021-P011
content/swipe/fashion shows ss27/IMG_0036.png,8A7554,tobacco,brown,accent,0.096,True,dress,0,2,16.0,,B042-P010;B042-P032
content/swipe/fashion shows ss27/IMG_0036.png,8A7554,tobacco,brown,accent,0.096,True,shoes,1,4,5.7,B029-P002,B001-P004;B009-P004;B062-P017;B053-P001
content/swipe/fashion shows ss27/IMG_0036.png,8A7554,tobacco,brown,accent,0.096,True,bag,0,1,16.6,,B056-P004
content/swipe/fashion shows ss27/IMG_0036.png,8A7554,tobacco,brown,accent,0.096,True,accessory,0,3,13.1,,B019-P002;B037-P008;B037-P009
content/swipe/fashion shows ss27/IMG_0036.png,8A7554,tobacco,brown,accent,0.096,True,base,0,5,13.8,,B003-P001;B062-P007;B005-P001;B004-P001;B026-P009
content/swipe/fashion shows ss27/IMG_0036.png,8A7554,tobacco,brown,accent,0.096,True,multiple,21,38,2.3,B062-P019;B032-P003;B044-P020;B022-P022;B023-P001;B047-P001;B046-P011;B042-P002,B025-P004;B043-P007;B039-P004;B042-P005;B046-P006;B026-P003;B033-P002;B049-P003
content/swipe/fashion shows ss27/IMG_0059.jpeg,422D22,espresso,brown,dominant,0.333,True,layer,35,61,5.3,B028-P002;B042-P015;B042-P016;B059-P001;B021-P022;B040-P003;B021-P027;B021-P002,B027-P005;B042-P003;B042-P004;B053-P006;B043-P001;B061-P002;B001-P001;B009-P001
content/swipe/fashion shows ss27/IMG_0059.jpeg,422D22,espresso,brown,dominant,0.333,True,top,47,36,2.3,B026-P010;B007-P003;B021-P024;B031-P002;B052-P002;B028-P012;B025-P003;B028-P013,B042-P009;B045-P003;B062-P015;B028-P007;B039-P002;B008-P002;B028-P009;B057-P003
content/swipe/fashion shows ss27/IMG_0059.jpeg,422D22,espresso,brown,dominant,0.333,True,bottom,8,23,6.9,B021-P011;B050-P003;B020-P003;B021-P010;B018-P002;B021-P003;B020-P004;B015-P005,B020-P001;B016-P001;B015-P002;B021-P015;B052-P006;B042-P022;B041-P003;B044-P018
content/swipe/fashion shows ss27/IMG_0059.jpeg,422D22,espresso,brown,dominant,0.333,True,dress,4,6,4.9,B041-P007;B041-P006;B042-P010;B033-P004,B042-P031;B042-P014;B042-P011;B041-P002;B042-P021;B042-P030
content/swipe/fashion shows ss27/IMG_0059.jpeg,422D22,espresso,brown,dominant,0.333,True,shoes,5,3,5.3,B055-P001;B039-P003;B029-P002;B001-P004;B009-P004,B037-P004;B053-P001;B062-P017
content/swipe/fashion shows ss27/IMG_0059.jpeg,422D22,espresso,brown,dominant,0.333,True,bag,3,3,1.7,B054-P003;B043-P005;B056-P004,B053-P004;B053-P005;B043-P006
content/swipe/fashion shows ss27/IMG_0059.jpeg,422D22,espresso,brown,dominant,0.333,True,accessory,4,6,5.5,B031-P009;B032-P001;B025-P008;B021-P009,B020-P006;B021-P001;B055-P003;B019-P002;B037-P009;B031-P001
content/swipe/fashion shows ss27/IMG_0059.jpeg,422D22,espresso,brown,dominant,0.333,True,base,5,1,3.2,B003-P001;B062-P008;B005-P001;B062-P007;B002-P001,B026-P009
content/swipe/fashion shows ss27/IMG_0059.jpeg,422D22,espresso,brown,dominant,0.333,True,multiple,54,51,2.5,B042-P007;B023-P006;B026-P007;B036-P001;B022-P007;B032-P003;B024-P002;B049-P003,B023-P010;B028-P010;B044-P005;B022-P004;B033-P005;B020-P002;B027-P011;B023-P015
content/swipe/fashion shows ss27/IMG_0059.jpeg,4A4944,taupe,warm neutral,secondary,0.301,False,layer,40,57,1.5,B038-P001;B027-P005;B042-P035;B043-P001;B055-P009;B023-P012;B027-P007;B041-P005,B019-P005;B021-P002;B055-P011;B012-P004;B056-P002;B008-P003;B043-P002;B030-P008
content/swipe/fashion shows ss27/IMG_0059.jpeg,4A4944,taupe,warm neutral,secondary,0.301,False,top,29,50,2.4,B031-P006;B030-P002;B039-P002;B057-P005;B014-P001;B054-P005;B008-P002;B054-P004,B027-P001;B028-P009;B057-P003;B034-P002;B027-P004;B027-P003;B032-P004;B055-P002
content/swipe/fashion shows ss27/IMG_0059.jpeg,4A4944,taupe,warm neutral,secondary,0.301,False,bottom,5,21,5.8,B020-P003;B048-P003;B015-P002;B020-P001;B015-P001,B041-P003;B042-P041;B020-P004;B049-P001;B021-P015;B044-P018;B042-P022;B011-P002
content/swipe/fashion shows ss27/IMG_0059.jpeg,4A4944,taupe,warm neutral,secondary,0.301,False,dress,0,10,12.9,,B042-P031;B041-P006;B041-P007;B042-P014;B033-P004;B041-P002;B042-P011;B042-P010
content/swipe/fashion shows ss27/IMG_0059.jpeg,4A4944,taupe,warm neutral,secondary,0.301,False,shoes,7,3,5.6,B001-P004;B009-P004;B053-P001;B062-P017;B037-P004;B029-P002;B039-P003,B055-P001;B001-P002;B009-P002
content/swipe/fashion shows ss27/IMG_0059.jpeg,4A4944,taupe,warm neutral,secondary,0.301,False,bag,3,3,9.3,B056-P004;B043-P005;B053-P004,B054-P003;B053-P005;B043-P006
content/swipe/fashion shows ss27/IMG_0059.jpeg,4A4944,taupe,warm neutral,secondary,0.301,False,accessory,6,6,3.9,B055-P003;B037-P009;B021-P001;B019-P002;B031-P009;B032-P001,B037-P008;B020-P006;B021-P009;B031-P001;B001-P003;B009-P003
content/swipe/fashion shows ss27/IMG_0059.jpeg,4A4944,taupe,warm neutral,secondary,0.301,False,base,2,3,10.6,B062-P008;B005-P001,B062-P007;B002-P001;B003-P001
content/swipe/fashion shows ss27/IMG_0059.jpeg,4A4944,taupe,warm neutral,secondary,0.301,False,multiple,57,44,3.6,B027-P011;B023-P007;B023-P015;B039-P004;B024-P004;B028-P006;B023-P011;B022-P016,B021-P008;B042-P005;B022-P007;B019-P006;B042-P019;B024-P006;B026-P007;B023-P002
content/swipe/fashion shows ss27/IMG_0059.jpeg,E2DAD0,cream,warm neutral,secondary,0.164,True,layer,17,4,2.6,B043-P002;B019-P004;B046-P003;B048-P001;B043-P004;B061-P003;B042-P020;B011-P006,B060-P006;B060-P002;B021-P014;B059-P002
content/swipe/fashion shows ss27/IMG_0059.jpeg,E2DAD0,cream,warm neutral,secondary,0.164,True,top,31,15,2.4,B061-P005;B042-P025;B010-P003;B062-P006;B062-P013;B033-P001;B058-P007;B042-P024,B025-P003;B030-P001;B042-P029;B030-P003;B057-P003;B021-P025;B012-P003;B050-P006
content/swipe/fashion shows ss27/IMG_0059.jpeg,E2DAD0,cream,warm neutral,secondary,0.164,True,bottom,11,7,1.4,B021-P011;B042-P039;B021-P010;B048-P003;B007-P002;B011-P002;B042-P038;B015-P004,B048-P002;B051-P001;B051-P002;B050-P007;B050-P002;B050-P008;B051-P003
content/swipe/fashion shows ss27/IMG_0059.jpeg,E2DAD0,cream,warm neutral,secondary,0.164,True,dress,1,1,4.7,B042-P032,B042-P010
content/swipe/fashion shows ss27/IMG_0059.jpeg,E2DAD0,cream,warm neutral,secondary,0.164,True,shoes,0,2,12.2,,B062-P017;B053-P001
content/swipe/fashion shows ss27/IMG_0059.jpeg,E2DAD0,cream,warm neutral,secondary,0.164,True,accessory,3,0,5.8,B020-P006;B045-P004;B025-P008,
content/swipe/fashion shows ss27/IMG_0059.jpeg,E2DAD0,cream,warm neutral,secondary,0.164,True,base,2,0,2.6,B004-P001;B062-P007,
content/swipe/fashion shows ss27/IMG_0059.jpeg,E2DAD0,cream,warm neutral,secondary,0.164,True,multiple,56,18,1.0,B023-P016;B044-P014;B036-P002;B023-P002;B023-P003;B023-P006;B022-P002;B022-P010,B024-P002;B023-P010;B025-P005;B022-P016;B044-P012;B024-P005;B026-P004;B022-P018
content/swipe/fashion shows ss27/IMG_0059.jpeg,88654A,tobacco,brown,accent,0.105,True,layer,9,19,4.4,B021-P016;B021-P002;B021-P014;B054-P007;B021-P021;B040-P002;B040-P003;B041-P004,B008-P003;B043-P002;B043-P003;B042-P018;B015-P003;B027-P008;B021-P013;B037-P007
content/swipe/fashion shows ss27/IMG_0059.jpeg,88654A,tobacco,brown,accent,0.105,True,top,14,17,6.2,B055-P002;B062-P005;B027-P004;B032-P004;B030-P001;B047-P003;B051-P004;B047-P002,B050-P004;B031-P005;B042-P028;B030-P002;B052-P001;B058-P004;B059-P005;B050-P005
content/swipe/fashion shows ss27/IMG_0059.jpeg,88654A,tobacco,brown,accent,0.105,True,bottom,8,2,6.1,B042-P040;B042-P041;B050-P002;B052-P004;B052-P003;B050-P003;B020-P003;B044-P010,B015-P004;B051-P002
content/swipe/fashion shows ss27/IMG_0059.jpeg,88654A,tobacco,brown,accent,0.105,True,dress,0,1,19.9,,B042-P010
content/swipe/fashion shows ss27/IMG_0059.jpeg,88654A,tobacco,brown,accent,0.105,True,shoes,1,3,11.4,B029-P002,B001-P004;B009-P004;B062-P017
content/swipe/fashion shows ss27/IMG_0059.jpeg,88654A,tobacco,brown,accent,0.105,True,bag,0,1,16.6,,B056-P004
content/swipe/fashion shows ss27/IMG_0059.jpeg,88654A,tobacco,brown,accent,0.105,True,accessory,0,3,12.7,,B019-P002;B037-P008;B037-P009
content/swipe/fashion shows ss27/IMG_0059.jpeg,88654A,tobacco,brown,accent,0.105,True,base,1,4,10.7,B062-P007,B002-P001;B003-P001;B005-P001;B026-P009
content/swipe/fashion shows ss27/IMG_0059.jpeg,88654A,tobacco,brown,accent,0.105,True,multiple,12,36,1.7,B023-P001;B022-P014;B046-P006;B062-P019;B022-P022;B042-P007;B047-P001;B044-P020,B021-P026;B022-P013;B024-P003;B042-P019;B046-P008;B042-P005;B024-P006;B022-P020
content/swipe/fashion shows ss27/IMG_0060.jpeg,4B4744,taupe,warm neutral,dominant,0.532,False,layer,44,53,1.6,B027-P005;B042-P035;B038-P001;B023-P012;B055-P009;B043-P001;B027-P007;B053-P006,B055-P011;B060-P002;B042-P018;B030-P008;B058-P001;B023-P013;B060-P006;B043-P002
content/swipe/fashion shows ss27/IMG_0060.jpeg,4B4744,taupe,warm neutral,dominant,0.532,False,top,32,53,2.2,B031-P006;B030-P002;B057-P005;B039-P002;B014-P001;B008-P002;B054-P005;B028-P013,B027-P004;B028-P009;B062-P010;B057-P003;B052-P002;B021-P024;B026-P010;B057-P006
content/swipe/fashion shows ss27/IMG_0060.jpeg,4B4744,taupe,warm neutral,dominant,0.532,False,bottom,5,28,5.2,B020-P003;B015-P002;B048-P003;B020-P001;B015-P001,B041-P003;B042-P041;B049-P001;B020-P004;B021-P015;B044-P018;B042-P022;B011-P002
content/swipe/fashion shows ss27/IMG_0060.jpeg,4B4744,taupe,warm neutral,dominant,0.532,False,dress,1,9,11.2,B041-P006,B041-P007;B042-P031;B033-P004;B042-P014;B041-P002;B042-P010;B042-P011;B042-P021
content/swipe/fashion shows ss27/IMG_0060.jpeg,4B4744,taupe,warm neutral,dominant,0.532,False,shoes,7,3,2.9,B001-P004;B009-P004;B053-P001;B037-P004;B039-P003;B029-P002;B062-P017,B055-P001;B001-P002;B009-P002
content/swipe/fashion shows ss27/IMG_0060.jpeg,4B4744,taupe,warm neutral,dominant,0.532,False,bag,4,2,8.8,B056-P004;B054-P003;B043-P005;B053-P004,B053-P005;B043-P006
content/swipe/fashion shows ss27/IMG_0060.jpeg,4B4744,taupe,warm neutral,dominant,0.532,False,accessory,6,7,4.6,B037-P009;B055-P003;B021-P001;B031-P009;B032-P001;B019-P002,B037-P008;B020-P006;B021-P009;B031-P001;B001-P003;B009-P003;B025-P008
content/swipe/fashion shows ss27/IMG_0060.jpeg,4B4744,taupe,warm neutral,dominant,0.532,False,base,3,2,8.5,B062-P008;B005-P001;B002-P001,B062-P007;B003-P001
content/swipe/fashion shows ss27/IMG_0060.jpeg,4B4744,taupe,warm neutral,dominant,0.532,False,multiple,66,41,2.6,B027-P011;B023-P015;B023-P011;B024-P004;B039-P004;B030-P005;B030-P006;B026-P003,B023-P002;B042-P019;B042-P007;B021-P026;B043-P007;B023-P017;B023-P003;B023-P004
content/swipe/fashion shows ss27/IMG_0060.jpeg,EBDFCD,cream,warm neutral,secondary,0.15,True,layer,16,4,1.3,B046-P003;B048-P001;B043-P004;B019-P004;B061-P003;B043-P002;B001-P001;B009-P001,B041-P004;B060-P002;B060-P006;B021-P014
content/swipe/fashion shows ss27/IMG_0060.jpeg,EBDFCD,cream,warm neutral,secondary,0.15,True,top,27,15,1.0,B062-P006;B058-P007;B033-P001;B042-P025;B042-P024;B038-P002;B061-P005;B062-P013,B052-P002;B057-P006;B062-P003;B030-P001;B042-P029;B025-P003;B030-P003;B007-P001
content/swipe/fashion shows ss27/IMG_0060.jpeg,EBDFCD,cream,warm neutral,secondary,0.15,True,bottom,11,7,3.6,B021-P011;B021-P010;B042-P039;B048-P003;B042-P038;B007-P002;B011-P002;B062-P021,B051-P001;B051-P002;B050-P007;B050-P002;B050-P008;B051-P003;B048-P002
content/swipe/fashion shows ss27/IMG_0060.jpeg,EBDFCD,cream,warm neutral,secondary,0.15,True,dress,1,1,4.3,B042-P032,B042-P010
content/swipe/fashion shows ss27/IMG_0060.jpeg,EBDFCD,cream,warm neutral,secondary,0.15,True,shoes,0,2,15.0,,B062-P017;B053-P001
content/swipe/fashion shows ss27/IMG_0060.jpeg,EBDFCD,cream,warm neutral,secondary,0.15,True,accessory,3,0,8.5,B020-P006;B045-P004;B025-P008,
content/swipe/fashion shows ss27/IMG_0060.jpeg,EBDFCD,cream,warm neutral,secondary,0.15,True,base,2,0,5.2,B004-P001;B062-P007,
content/swipe/fashion shows ss27/IMG_0060.jpeg,EBDFCD,cream,warm neutral,secondary,0.15,True,multiple,48,23,1.4,B036-P002;B023-P002;B023-P005;B023-P003;B023-P016;B044-P014;B046-P007;B022-P002,B042-P002;B022-P020;B024-P001;B023-P010;B024-P006;B057-P004;B022-P021;B024-P002
content/swipe/fashion shows ss27/IMG_0060.jpeg,3C2B25,espresso,brown,secondary,0.133,True,layer,61,35,2.9,B059-P001;B028-P002;B042-P015;B042-P016;B008-P003;B030-P009;B021-P022;B041-P004,B048-P001;B037-P002;B042-P020;B062-P014;B027-P007;B028-P004;B041-P005;B056-P003
content/swipe/fashion shows ss27/IMG_0060.jpeg,3C2B25,espresso,brown,secondary,0.133,True,top,56,30,2.2,B026-P010;B052-P002;B007-P003;B021-P024;B028-P012;B030-P004;B031-P002;B055-P002,B058-P004;B028-P008;B021-P006;B040-P001;B050-P004;B037-P003;B039-P007;B042-P001
content/swipe/fashion shows ss27/IMG_0060.jpeg,3C2B25,espresso,brown,secondary,0.133,True,bottom,15,17,6.3,B021-P011;B020-P003;B021-P010;B018-P002;B020-P004;B020-P001;B015-P002;B015-P005,B044-P018;B011-P002;B019-P001;B042-P040;B042-P038;B056-P001;B042-P023;B042-P033
content/swipe/fashion shows ss27/IMG_0060.jpeg,3C2B25,espresso,brown,secondary,0.133,True,dress,6,4,2.8,B041-P007;B041-P006;B033-P004;B042-P010;B042-P031;B042-P014,B042-P011;B041-P002;B042-P021;B042-P030
content/swipe/fashion shows ss27/IMG_0060.jpeg,3C2B25,espresso,brown,secondary,0.133,True,shoes,7,1,4.6,B039-P003;B029-P002;B055-P001;B001-P004;B009-P004;B037-P004;B053-P001,B062-P017
content/swipe/fashion shows ss27/IMG_0060.jpeg,3C2B25,espresso,brown,secondary,0.133,True,bag,5,1,2.7,B054-P003;B043-P005;B056-P004;B053-P004;B053-P005,B043-P006
content/swipe/fashion shows ss27/IMG_0060.jpeg,3C2B25,espresso,brown,secondary,0.133,True,accessory,7,3,3.5,B031-P009;B032-P001;B021-P009;B025-P008;B021-P001;B020-P006;B019-P002,B055-P003;B031-P001;B037-P009
content/swipe/fashion shows ss27/IMG_0060.jpeg,3C2B25,espresso,brown,secondary,0.133,True,base,5,0,3.5,B062-P008;B003-P001;B005-P001;B062-P007;B002-P001,
content/swipe/fashion shows ss27/IMG_0060.jpeg,3C2B25,espresso,brown,secondary,0.133,True,multiple,85,21,1.6,B026-P007;B042-P007;B023-P006;B022-P007;B024-P002;B032-P003;B024-P006;B056-P006,B057-P004;B026-P002;B026-P001;B046-P001;B022-P012;B042-P012;B044-P011;B018-P003
content/swipe/fashion shows ss27/IMG_0060.jpeg,7B7060,olive,green,secondary,0.116,True,layer,16,20,4.2,B041-P005;B040-P002;B041-P004;B043-P002;B021-P002;B042-P018;B038-P001;B060-P005,B059-P001;B021-P014;B061-P002;B021-P021;B027-P008;B054-P002;B043-P001;B055-P009
content/swipe/fashion shows ss27/IMG_0060.jpeg,7B7060,olive,green,secondary,0.116,True,top,10,22,6.1,B062-P005;B030-P001;B042-P028;B032-P004;B055-P002;B062-P002;B027-P004;B031-P005,B062-P009;B051-P004;B057-P005;B021-P005;B047-P003;B047-P002;B032-P002;B016-P003
content/swipe/fashion shows ss27/IMG_0060.jpeg,7B7060,olive,green,secondary,0.116,True,bottom,4,7,2.1,B020-P003;B042-P040;B044-P010;B042-P041,B050-P003;B048-P003;B050-P002;B052-P004;B052-P003;B007-P002;B021-P010
content/swipe/fashion shows ss27/IMG_0060.jpeg,7B7060,olive,green,secondary,0.116,True,dress,0,1,18.7,,B042-P010
content/swipe/fashion shows ss27/IMG_0060.jpeg,7B7060,olive,green,secondary,0.116,True,shoes,4,0,8.4,B029-P002;B001-P004;B009-P004;B062-P017,
content/swipe/fashion shows ss27/IMG_0060.jpeg,7B7060,olive,green,secondary,0.116,True,bag,1,0,10.0,B056-P004,
content/swipe/fashion shows ss27/IMG_0060.jpeg,7B7060,olive,green,secondary,0.116,True,accessory,3,1,6.5,B019-P002;B037-P008;B037-P009,B055-P003
content/swipe/fashion shows ss27/IMG_0060.jpeg,7B7060,olive,green,secondary,0.116,True,base,1,3,10.0,B005-P001,B002-P001;B062-P007;B003-P001
content/swipe/fashion shows ss27/IMG_0060.jpeg,7B7060,olive,green,secondary,0.116,True,multiple,21,48,4.4,B042-P019;B023-P010;B062-P019;B024-P006;B036-P007;B022-P013;B024-P003;B044-P020,B018-P003;B062-P018;B046-P008;B028-P010;B022-P022;B022-P017;B062-P020;B052-P007
content/swipe/fashion shows ss27/IMG_0061.jpeg,433734,taupe,warm neutral,dominant,0.474,False,layer,64,33,2.0,B042-P016;B059-P001;B041-P004;B055-P008;B028-P001;B040-P003;B028-P002;B040-P002,B037-P002;B008-P001;B042-P018;B021-P019;B042-P034;B028-P005;B017-P001;B042-P020
content/swipe/fashion shows ss27/IMG_0061.jpeg,433734,taupe,warm neutral,dominant,0.474,False,top,50,38,1.9,B058-P003;B028-P013;B031-P002;B030-P004;B014-P001;B027-P002;B054-P004;B059-P004,B021-P005;B037-P003;B041-P009;B021-P012;B031-P007;B031-P004;B028-P008;B031-P008
content/swipe/fashion shows ss27/IMG_0061.jpeg,433734,taupe,warm neutral,dominant,0.474,False,bottom,11,21,5.7,B020-P003;B015-P002;B020-P001;B020-P004;B021-P011;B021-P015;B041-P003;B042-P022,B011-P002;B015-P001;B015-P005;B052-P006;B021-P003;B016-P001;B049-P001;B056-P001
content/swipe/fashion shows ss27/IMG_0061.jpeg,433734,taupe,warm neutral,dominant,0.474,False,dress,6,4,4.7,B041-P006;B041-P007;B033-P004;B042-P031;B042-P010;B042-P014,B041-P002;B042-P011;B042-P021;B042-P030
content/swipe/fashion shows ss27/IMG_0061.jpeg,433734,taupe,warm neutral,dominant,0.474,False,shoes,7,3,2.8,B039-P003;B029-P002;B001-P004;B009-P004;B037-P004;B053-P001;B055-P001,B062-P017;B001-P002;B009-P002
content/swipe/fashion shows ss27/IMG_0061.jpeg,433734,taupe,warm neutral,dominant,0.474,False,bag,4,2,4.9,B054-P003;B043-P005;B056-P004;B053-P004,B053-P005;B043-P006
content/swipe/fashion shows ss27/IMG_0061.jpeg,433734,taupe,warm neutral,dominant,0.474,False,accessory,8,3,2.5,B031-P009;B032-P001;B021-P001;B055-P003;B020-P006;B037-P009;B021-P009;B019-P002,B025-P008;B031-P001;B037-P008
content/swipe/fashion shows ss27/IMG_0061.jpeg,433734,taupe,warm neutral,dominant,0.474,False,base,5,0,2.3,B062-P008;B005-P001;B062-P007;B003-P001;B002-P001,
content/swipe/fashion shows ss27/IMG_0061.jpeg,433734,taupe,warm neutral,dominant,0.474,False,multiple,91,15,2.4,B022-P021;B022-P013;B056-P006;B023-P011;B046-P009;B023-P006;B033-P002;B024-P006,B024-P005;B010-P002;B024-P009;B042-P012;B045-P001;B022-P015;B030-P007;B044-P001
content/swipe/fashion shows ss27/IMG_0061.jpeg,EBDECA,cream,warm neutral,accent,0.15,True,layer,15,5,1.2,B046-P003;B048-P001;B043-P004;B019-P004;B061-P003;B043-P002;B001-P001;B009-P001,B058-P005;B041-P004;B060-P002;B060-P006;B021-P014
