product_id,colour,hex,old_family,old_name,new_family,new_name,L,C,h
B078-P012-C2,3,713510,orange,rust,brown,chocolate,29.7,41.4,54.6
B079-P002-I1-C2,3,542616,orange,rust,brown,espresso,21.3,28.4,45.5
B080-P002-I1-C1,3,592617,orange,rust,brown,chocolate,22.2,30.5,43.2
B080-P002-I1-C2,2,562415,orange,rust,brown,espresso,21.2,30.3,43.5
B080-P002-I2-C1,3,592617,orange,rust,brown,chocolate,22.2,30.5,43.2
B080-P002-I2-C2,1,592410,orange,rust,brown,espresso,21.7,33.7,46.8
B080-P002-I3-C0,1,592410,orange,rust,brown,espresso,21.7,33.7,46.8
B080-P011-C7,1,552615,orange,rust,brown,espresso,21.5,29.3,46.1
B090-P003-I1-C1,2,703617,orange,rust,brown,chocolate,29.8,38.2,52.5
B014-P001-V4,1,9C3125,orange,rust,red,brick,36.7,54.3,36.3
B019-P006-I1-C1,2,8C041D,orange,rust,red,burgundy,28.8,58.1,28.1
B020-P002-C1,3,8F0821,orange,rust,red,burgundy,29.7,57.8,26.8
B022-P015-C3,1,571014,orange,rust,red,oxblood,17.7,36.6,28.5
B022-P015-C5,1,64251B,orange,rust,red,brick,24.0,34.8,37.1
B022-P015-C6,1,662122,orange,rust,red,red,23.8,35.0,27.5
B022-P019-C4,1,571F1D,orange,rust,red,brick,20.4,29.7,29.7
B022-P022,2,44100F,orange,rust,red,oxblood,13.4,28.6,29.8
B022-P022-C3,1,5E271B,orange,rust,red,red,23.4,31.3,39.6
B023-P001-C1,1,612420,orange,rust,red,brick,23.4,32.2,31.5
B023-P001-C2,1,65221B,orange,rust,red,brick,23.6,36.2,34.7
B023-P001-C3,1,5E271B,orange,rust,red,red,23.4,31.3,39.6
B023-P014-C1,1,A70E23,orange,rust,red,burgundy,35.3,65.7,29.5
B025-P008,1,59241E,orange,rust,red,brick,21.9,28.7,33.7
B026-P004,3,541B1C,orange,rust,red,oxblood,19.0,29.8,26.9
B026-P004-C0,1,541B1D,orange,rust,red,oxblood,19.0,29.6,25.6
B028-P010-I2-C0,1,631915,orange,rust,red,brick,21.6,39.5,33.8
B032-P001-V2,1,591F1C,orange,rust,red,brick,20.8,30.9,30.9
B032-P001-V2,2,923C37,orange,rust,red,brick,37.2,41.8,30.7
B036-P003,1,5C2021,orange,rust,red,oxblood,21.6,30.8,26.5
B045-P001-C5,1,59261D,orange,rust,red,brick,22.3,28.4,37.0
B045-P001-I2-C3,3,8E0B1C,orange,rust,red,burgundy,29.6,58.3,29.8
B045-P002,3,770611,orange,rust,red,brick,24.0,52.9,32.3
B045-P003,2,820715,orange,rust,red,brick,26.6,56.0,31.6
B046-P007-C1,1,7D030F,orange,rust,red,brick,25.1,56.3,33.5
B046-P007-C1,2,440303,orange,rust,red,oxblood,11.3,34.0,28.9
B046-P007-C1,3,7E272C,orange,rust,red,burgundy,29.6,41.9,25.4
B050-P001-I1-C0,3,451011,orange,rust,red,oxblood,13.7,28.7,28.0
B057-P006-sw07,1,DB2F30,orange,rust,red,red,48.7,77.2,33.2
B058-P004-sw05,1,BC141E,orange,rust,red,red,40.1,74.3,33.9
B059-P006,1,7C262B,orange,rust,red,burgundy,29.0,41.5,25.4
B059-P007,1,C42B23,orange,rust,red,red,43.6,72.6,36.1
B059-P007-sw01,1,882E32,orange,rust,red,burgundy,32.7,42.9,25.6
B059-P008,1,B83426,orange,rust,red,red,42.4,65.1,37.0
B059-P008,3,812016,orange,rust,red,brick,28.8,51.1,37.2
B059-P008-V2,2,98281E,orange,rust,red,brick,34.6,56.7,36.3
B060-P001-sw01,1,C73C2C,orange,rust,red,red,46.4,67.8,37.1
B060-P002,1,851202,orange,rust,red,red,27.9,60.8,40.9
B060-P002,3,91362D,orange,rust,red,brick,35.7,45.7,34.1
B062-P005,1,CB463D,orange,rust,red,red,48.8,62.4,33.3
B062-P005-V2,2,E24C42,orange,terracotta,red,red,53.7,69.1,33.6
B062-P006-sw01,1,E15347,orange,terracotta,red,red,54.7,65.7,33.8
B062-P016-sw06,1,D94B35,orange,terracotta,red,red,51.9,69.2,38.2
B066-P005-C8,2,910318,orange,rust,red,brick,29.8,61.4,31.2
B068-P011,1,CC2A26,orange,rust,red,red,45.1,75.0,35.1
B068-P038,1,CD2926,orange,rust,red,red,45.2,75.6,34.9
B068-P067,1,CE2B27,orange,rust,red,red,45.6,75.4,35.0
B070-P006,1,5A251B,orange,rust,red,brick,22.2,29.9,38.0
B070-P013,1,602827,orange,rust,red,red,24.2,28.6,27.3
B070-P015,1,5E251F,orange,rust,red,brick,23.0,30.6,33.5
B073-P005,1,C52B23,orange,rust,red,red,43.8,73.0,36.1
B074-P001,1,8A2B27,orange,rust,red,brick,32.4,47.3,32.1
B074-P001,2,5F1110,orange,rust,red,brick,19.5,41.1,33.2
B078-P011-C2,1,7F2929,orange,rust,red,burgundy,30.1,42.4,28.9
B079-P001,2,6E0A14,orange,rust,red,brick,22.2,47.8,30.2
B079-P002-C0,3,820A18,orange,rust,red,brick,26.8,54.8,30.4
B079-P002-C2,1,57271A,orange,rust,red,red,22.1,28.2,41.8
B079-P002-I2-C1,1,E04A3F,orange,terracotta,red,red,53.1,69.5,34.2
B080-P001-I1-C2,2,580B14,orange,rust,red,oxblood,17.3,38.2,26.5
B083-P005,1,961E1B,orange,rust,red,brick,32.9,58.9,34.7
B085-P002,1,8C2221,orange,rust,red,brick,31.4,52.1,32.2
B087-P001,1,761510,orange,rust,red,brick,25.0,50.5,36.2
B010-P002,3,7998D7,purple,violet,blue,steel blue,62.9,36.0,279.0
B055-P013,1,3B3085,purple,plum,blue,cobalt,26.0,54.9,302.6
B066-P001-C0,1,031281,purple,aubergine,blue,navy,15.7,73.0,303.6
B066-P003-C0,1,02107D,purple,aubergine,blue,navy,14.8,72.0,303.8
B066-P003-C3,1,030F7A,purple,aubergine,blue,navy,14.2,70.9,303.9
B068-P020,1,507BCE,purple,violet,blue,cobalt,52.2,48.6,282.8
B068-P047,1,4A75C8,purple,violet,blue,cobalt,49.9,49.0,283.4
B024-P005-I1-C5,3,C8809E,purple,mauve,pink,hot pink,61.8,32.3,352.2
B057-P006-sw22,1,A5528A,purple,mauve,pink,raspberry,46.8,44.3,339.3
B058-P001-V2,1,A55988,purple,mauve,pink,raspberry,48.2,39.4,341.7
B058-P001-V2,3,7D3860,purple,plum,pink,raspberry,34.1,36.2,344.7
B058-P002-sw01,1,A9588C,purple,mauve,pink,raspberry,48.6,42.3,340.7
B059-P002-sw10,1,A15888,purple,mauve,pink,raspberry,47.4,39.0,339.7
B064-P002-C3,2,876A78,purple,mauve,pink,raspberry,48.0,14.4,346.5
B064-P002-C3,3,B68FA0,purple,mauve,pink,dusty rose,63.4,17.8,349.3
B068-P009,2,D695B1,purple,mauve,pink,hot pink,68.7,28.9,350.6
B068-P036,2,D391AE,purple,mauve,pink,hot pink,67.4,29.6,350.2
B088-P003,3,986E7C,purple,mauve,pink,raspberry,51.0,18.9,356.6
B020-P006,2,4E343F,purple,plum,red,oxblood,25.1,13.8,351.1
B015-P003,3,3D2021,red,oxblood,brown,espresso,16.2,15.1,21.0
B021-P002-V3,3,3B1619,red,oxblood,brown,espresso,13.1,19.8,20.2
B021-P012,3,4F2B2C,red,oxblood,brown,chocolate,22.2,18.0,21.5
B022-P019-C6,1,542A2A,red,oxblood,brown,chocolate,22.7,21.3,24.3
B022-P019-C7,1,502B2B,red,oxblood,brown,chocolate,22.3,18.7,23.6
B023-P002-C0,1,421416,red,oxblood,brown,espresso,13.9,24.8,24.8
B023-P002-C1,2,361314,red,oxblood,brown,espresso,11.3,19.3,23.9
B023-P002-C2,1,492021,red,oxblood,brown,espresso,18.2,21.4,23.5
B023-P003,3,451719,red,oxblood,brown,espresso,15.2,24.5,24.2
B023-P003-C0,1,421416,red,oxblood,brown,espresso,13.9,24.8,24.8
B023-P003-C1,2,321212,red,oxblood,brown,espresso,10.2,17.9,24.8
B023-P003-C2,1,492021,red,oxblood,brown,espresso,18.2,21.4,23.5
B025-P007-I2-C3,1,3E1E1E,red,oxblood,brown,espresso,15.7,17.0,24.2
B033-P002,1,341C1D,red,oxblood,brown,espresso,13.5,12.7,20.0
B062-P018-C1,2,330A09,red,oxblood,brown,espresso,8.5,22.6,24.8
B002-P001,1,795A5C,red,burgundy,pink,raspberry,41.5,13.6,16.3
B057-P006-sw06,1,E64576,red,red,pink,raspberry,54.4,65.4,7.7
B058-P002-sw05,1,E64F7C,red,red,pink,hot pink,56.0,62.0,6.9
B059-P002-sw05,1,EE647D,red,red,pink,hot pink,60.6,56.9,13.7
B062-P012,3,AC2F52,red,burgundy,pink,raspberry,40.3,53.5,10.1
B062-P014,1,834855,red,burgundy,pink,raspberry,38.1,26.9,7.3
B068-P010,1,ED6C8C,red,red,pink,dusty rose,62.2,53.2,7.7
B068-P037,1,ED6988,red,red,pink,dusty rose,61.6,54.4,9.0
B073-P009-sw05,1,AB2E54,red,burgundy,pink,raspberry,40.0,53.4,8.3
B080-P001-C3,1,FA516F,red,red,pink,raspberry,59.3,68.8,17.1
B080-P009-C2,2,CF7D81,red,red,pink,dusty rose,61.2,34.2,19.6
B082-P001-I1-C2,2,7D4D56,red,burgundy,pink,raspberry,38.4,21.8,8.6
B082-P003,2,C76382,red,red,pink,raspberry,54.7,43.1,2.0
B019-P006-I1-C3,3,D7BB95,warm neutral,oatmeal,brown,tan,77.4,23.4,79.1
B019-P007-C5,2,D3B18C,warm neutral,oatmeal,brown,tan,74.3,24.6,73.4
B021-P001-V2,3,6E4818,warm neutral,taupe,brown,chocolate,34.0,35.9,71.2
B021-P016,2,E5C8AB,warm neutral,cream,brown,tan,82.3,19.2,72.3
B021-P017,1,DEBD9E,warm neutral,cream,brown,tan,78.7,21.3,70.2
B021-P022,2,653D1C,warm neutral,taupe,brown,chocolate,29.9,30.6,62.3
B022-P016-C2,2,D5B397,warm neutral,oatmeal,brown,tan,75.2,20.6,66.7
B022-P017-C2,2,D7B79B,warm neutral,oatmeal,brown,tan,76.5,19.9,68.4
B022-P018-C2,1,D5B499,warm neutral,oatmeal,brown,tan,75.5,19.8,66.6
B022-P018-C4,1,DBBC9D,warm neutral,cream,brown,tan,78.1,20.8,71.9
B022-P019,1,CCB5A3,warm neutral,oatmeal,brown,tan,75.2,13.3,66.3
B022-P019-C2,1,CBB6A5,warm neutral,oatmeal,brown,tan,75.4,12.3,67.4
B022-P019-C3,1,DDC0A4,warm neutral,cream,brown,tan,79.5,18.9,71.3
B023-P010-C2,2,CFBAA6,warm neutral,oatmeal,brown,tan,76.8,13.5,71.7
B024-P002-C5,1,CCBAA2,warm neutral,oatmeal,brown,tan,76.4,14.7,80.1
B024-P003-C1,1,C9B69F,warm neutral,oatmeal,brown,tan,75.1,14.5,77.7
B026-P001,1,D9C5B1,warm neutral,cream,brown,tan,80.7,13.2,73.2
B026-P004-C0,3,E2BDA1,warm neutral,cream,brown,tan,79.1,21.2,64.4
B026-P007,2,D4BCAB,warm neutral,oatmeal,brown,tan,77.8,13.1,63.6
B027-P009-I1-C0,1,D4C8B0,warm neutral,cream,brown,tan,81.0,13.5,89.0
B028-P010-I3-C0,3,D5BFA9,warm neutral,cream,brown,tan,78.6,14.6,72.9
B038-P002,2,CDBB95,warm neutral,oatmeal,brown,tan,76.5,21.6,88.6
B039-P004-C5,2,542C14,warm neutral,taupe,brown,chocolate,22.8,28.2,55.1
B040-P001,1,5A2C0D,warm neutral,taupe,brown,chocolate,23.7,33.8,56.6
B040-P001,2,85481E,warm neutral,taupe,brown,chocolate,37.3,42.0,57.5
B042-P001,1,5B2C0D,warm neutral,taupe,brown,chocolate,23.9,34.3,56.1
B042-P009,2,C9B39E,warm neutral,oatmeal,brown,tan,74.3,14.3,71.6
B042-P028,1,C5BAA4,warm neutral,oatmeal,brown,tan,75.9,12.6,89.0
B042-P032,1,DACDB8,warm neutral,cream,brown,tan,82.9,12.1,85.0
B043-P007-I1-C2,1,C8B48A,warm neutral,oatmeal,brown,tan,74.0,24.1,88.0
B044-P001-C0,1,CABFA4,warm neutral,oatmeal,brown,tan,77.6,15.0,92.2
B045-P001-I3-C1,3,E5BE9B,warm neutral,cream,brown,tan,79.5,24.6,68.6
B046-P003,2,CEB89F,warm neutral,oatmeal,brown,tan,76.0,16.1,75.9
B046-P004-C0,3,6A3209,warm neutral,taupe,brown,chocolate,27.8,41.3,57.3
B046-P006-C1,1,6F4826,warm neutral,taupe,brown,chocolate,34.3,29.8,64.3
B046-P007-I1-C1,1,7A4016,warm neutral,taupe,brown,chocolate,33.7,41.5,58.2
B046-P007-I1-C1,2,592909,warm neutral,taupe,brown,chocolate,22.8,35.1,55.6
B046-P008,3,744312,warm neutral,taupe,brown,chocolate,33.5,40.4,64.8
B046-P008-C0,3,744310,warm neutral,taupe,brown,chocolate,33.5,41.1,65.4
B047-P003,3,DDBB9E,warm neutral,cream,brown,tan,78.1,20.8,67.7
B048-P001,3,CDB79E,warm neutral,oatmeal,brown,tan,75.6,16.1,75.9
B050-P001-I2-C1,3,68461E,warm neutral,taupe,brown,chocolate,32.7,31.0,70.7
B050-P001-I4-C1,3,D7C7B3,warm neutral,cream,brown,tan,81.0,12.3,79.1
B050-P006,2,E1C8B3,warm neutral,cream,brown,tan,82.1,14.8,68.2
B052-P001,1,654619,warm neutral,taupe,brown,chocolate,32.3,32.5,74.9
B052-P003,3,5C2E11,warm neutral,taupe,brown,chocolate,24.5,32.9,55.7
B052-P004,1,783D17,warm neutral,taupe,brown,chocolate,32.7,40.6,55.9
B054-P004,3,D4B090,warm neutral,oatmeal,brown,tan,74.2,22.9,68.4
B054-P006,3,DFBEA4,warm neutral,cream,brown,tan,79.2,19.2,65.8
B062-P009,3,E5CDB6,warm neutral,cream,brown,tan,83.8,15.3,71.8
B066-P005-C0,1,CBB89E,warm neutral,oatmeal,brown,tan,75.7,15.9,80.5
B068-P007,1,D5BFAD,warm neutral,cream,brown,tan,78.7,12.9,67.7
B070-P017,1,854821,warm neutral,taupe,brown,chocolate,37.4,40.8,56.2
B071-P005,1,D2B79C,warm neutral,oatmeal,brown,tan,76.1,18.2,72.2
B071-P005-C3,1,D3B79C,warm neutral,oatmeal,brown,tan,76.1,18.4,71.2
B078-P006-C1,1,D0B59A,warm neutral,oatmeal,brown,tan,75.3,18.2,72.2
B078-P009-C5,2,D5BCA8,warm neutral,oatmeal,brown,tan,77.8,14.6,66.8
B078-P010-C0,3,8C4B22,warm neutral,taupe,brown,tobacco,39.1,42.9,55.9
B078-P012-C1,3,D4BBA5,warm neutral,oatmeal,brown,tan,77.4,15.4,69.3
B078-P013-C1,2,D9BFA6,warm neutral,cream,brown,tan,78.9,16.9,71.5
B080-P003-C1,2,A16136,warm neutral,stone,brown,tobacco,47.5,41.3,57.9
B080-P003-C2,2,E6C299,warm neutral,cream,brown,tan,80.6,26.4,74.5
B080-P008-C1,1,D9CAB5,warm neutral,cream,brown,tan,82.0,12.5,81.7
B080-P011-C5,1,CFBDA8,warm neutral,oatmeal,brown,tan,77.6,13.3,77.1
B080-P011-C6,3,6A3F1B,warm neutral,taupe,brown,chocolate,31.1,33.0,62.3
B080-P012-C11,2,6F3F18,warm neutral,taupe,brown,chocolate,31.8,36.3,61.2
B080-P012-C5,1,D2C4AF,warm neutral,cream,brown,tan,79.8,12.4,83.3
B088-P005,3,D7BFAD,warm neutral,cream,brown,tan,78.9,13.4,65.2
B090-P008-I2-C0,2,D3B382,warm neutral,oatmeal,brown,camel,74.6,29.7,80.8
B026-P008-C0,3,DFAD87,warm neutral,oatmeal,orange,apricot,74.4,29.7,63.4
B042-P007,1,A56F4D,warm neutral,stone,orange,terracotta,51.7,32.7,57.5
B050-P004,2,C58155,warm neutral,stone,orange,terracotta,60.1,40.7,57.8
B050-P004,3,AE6A3F,warm neutral,stone,orange,terracotta,51.5,42.1,56.8
B050-P005,2,C67D53,warm neutral,stone,orange,terracotta,59.3,42.1,55.0
B080-P001-I2-C3,1,E37B30,warm neutral,oatmeal,orange,terracotta,62.3,66.2,58.0
B073-P002-sw01,1,D9B4AA,warm neutral,oatmeal,pink,dusty rose,76.3,15.5,40.6
B050-P008,1,EBBD95,warm neutral,cream,yellow,gold,79.7,28.7,67.2
B051-P003,1,F0C097,warm neutral,cream,yellow,gold,81.0,29.6,66.7
B075-P004,2,E2F6D3,white,off-white,green,sage,94.6,19.4,130.9
B019-P006-I1-C3,1,EDEDDF,white,off-white,warm neutral,cream,93.4,7.2,109.6
B019-P007-C2,1,E9E6DA,white,off-white,warm neutral,cream,91.2,6.3,99.7
B019-P007-C5,1,F0ECE0,white,off-white,warm neutral,cream,93.4,6.3,96.4
B020-P002-I1-C2,1,F6EEE2,white,off-white,warm neutral,cream,94.4,6.8,84.4
B021-P007-C0,1,ECE3D6,white,off-white,warm neutral,cream,90.6,7.5,83.4
B023-P005,1,EEE8DA,white,off-white,warm neutral,cream,92.1,7.5,92.7
B023-P005-C6,1,F1EADA,white,off-white,warm neutral,cream,92.8,8.6,92.2
B025-P006-C5,1,E7E6DA,white,off-white,warm neutral,cream,91.1,6.2,106.3
B025-P007-C2,1,E5E4D8,white,off-white,warm neutral,cream,90.4,6.2,106.3
B026-P001-I2-C0,1,ECE2D4,white,off-white,warm neutral,cream,90.3,8.1,82.6
B033-P001,1,EBE3D1,white,off-white,warm neutral,cream,90.4,9.8,91.8
B042-P032,2,EFEBDE,white,off-white,warm neutral,cream,93.0,6.8,97.4
B046-P001-I1-C0,1,F0E8D7,white,off-white,warm neutral,cream,92.2,9.2,90.9
B058-P007-V2-sw02,1,EAE9DC,white,off-white,warm neutral,cream,92.1,6.7,106.5
B059-P002-sw02,1,F0F0E4,white,off-white,warm neutral,cream,94.5,6.2,109.7
B059-P004,2,EFE6D3,white,off-white,warm neutral,cream,91.5,10.3,90.6
B059-P005-sw02,1,EEEEE0,white,off-white,warm neutral,cream,93.8,7.2,109.6
B066-P003,1,EAE3D7,white,off-white,warm neutral,cream,90.5,6.7,87.2
B066-P004-C2,1,EAE4D9,white,off-white,warm neutral,cream,90.8,6.1,88.6
B073-P006-sw08,1,F4F0D5,white,off-white,warm neutral,cream,94.5,13.9,103.0
B073-P009-sw04,1,F0E6DC,white,off-white,warm neutral,cream,91.8,6.3,74.4
B076-P001,1,EAE7DB,white,off-white,warm neutral,cream,91.6,6.3,99.7
B076-P004,1,EDE9DA,white,off-white,warm neutral,cream,92.3,7.9,98.8
B077-P001,1,EBE5D7,white,off-white,warm neutral,cream,91.1,7.5,92.7
B077-P006,1,E9E5D7,white,off-white,warm neutral,cream,90.9,7.4,98.1
B090-P002,2,F4E6D4,white,off-white,warm neutral,cream,91.9,10.6,80.2
B001-P001,1,D5C4A8,yellow,butter,brown,tan,79.9,16.3,84.7
B009-P001,1,D5C4A8,yellow,butter,brown,tan,79.9,16.3,84.7
B018-P001-V2,2,BB9564,yellow,gold,brown,camel,64.1,32.2,75.8
B019-P006-I1-C0,3,D5A275,yellow,gold,brown,camel,70.4,33.4,66.6
B019-P007,2,D5A375,yellow,gold,brown,camel,70.6,33.5,67.7
