path,folder,house,house_confidence,colour1_hex,colour1_name,colour1_family,colour1_share,colour1_role,colour1_sits,colour2_hex,colour2_name,colour2_family,colour2_share,colour2_role,colour2_sits,colour3_hex,colour3_name,colour3_family,colour3_share,colour3_role,colour3_sits,colour4_hex,colour4_name,colour4_family,colour4_share,colour4_role,colour4_sits,accent_sits,pattern,pattern_confidence,colour_story,colour_story_confidence,non_clothing_dominant_hex,non_clothing_dominant_name,frame_edge_colours,clothes_share,skin_share,background_share,colour_confidence,used_in
content/swipe/fashion shows ss27/IMG_0803.png,content/swipe/fashion shows ss27,,input needed,EEEAF0,white,white,0.641,dominant,upper,A7968D,oatmeal,warm neutral,0.253,secondary,lower,442C21,espresso,brown,0.07,accent,middle,,,,,,,espresso middle,,input needed,,input needed,DCCCC4,cream,181818;080808;E8D8C8,0.268,0.085,0.647,low,
content/swipe/fashion shows ss27/IMG_0804.png,content/swipe/fashion shows ss27,,input needed,E9E7E3,white,white,0.546,dominant,middle,296358,emerald,green,0.189,secondary,upper,D7AB88,tan,brown,0.134,accent,upper,766C66,stone,warm neutral,0.074,secondary,upper,tan upper,,input needed,"Deep emerald green against warm ivory, pastel blue-pink backdrop, wide lightness gap",given,BCB4AC,oatmeal,B8B8A8;C8B8B8;B8A8A8,0.694,0.07,0.235,high,
content/swipe/fashion shows ss27/IMG_0805.png,content/swipe/fashion shows ss27,,input needed,17170E,off-black,black,0.474,dominant,lower,16191C,black,black,0.39,secondary,upper,464532,olive,green,0.087,accent,lower,B88B69,tan,brown,0.049,accent,upper,olive lower; tan upper,,input needed,,input needed,E4DCD4,cream,D8D8C8;E8D8D8;E8D8C8,0.843,0.126,0.03,high,
content/swipe/fashion shows ss27/IMG_0806.png,content/swipe/fashion shows ss27,,input needed,171C20,black,black,0.906,dominant,middle,B97648,ochre,yellow,0.065,accent,upper,,,,,,,,,,,,,ochre upper,,input needed,,input needed,E4DCCC,cream,E8D8C8;D8D8C8;D8C8B8,0.868,0.078,0.054,high,
content/swipe/fashion shows ss27/IMG_0807.png,content/swipe/fashion shows ss27,,input needed,787456,olive,green,0.323,dominant,middle,5F5D44,olive,green,0.275,secondary,middle,948D6B,sage,green,0.217,accent,middle,433F2F,olive,green,0.138,secondary,lower,sage middle,,input needed,,input needed,CCC4B4,cream,C8C8B8;D8C8B8;C8B8A8,0.846,0.129,0.025,high,
content/swipe/fashion shows ss27/IMG_0808.png,content/swipe/fashion shows ss27,,input needed,E1C990,butter,yellow,0.736,dominant,middle,584E42,chocolate,brown,0.112,secondary,lower,C79565,gold,yellow,0.082,accent,upper,908470,tan,brown,0.07,secondary,middle,gold upper,,input needed,,input needed,BCBCB4,oatmeal,C8B8A8;D8C8B8;B8B8B8,0.444,0.099,0.458,medium,
content/swipe/fashion shows ss27/IMG_0809.png,content/swipe/fashion shows ss27,,input needed,472A27,espresso,brown,0.373,dominant,middle,6B4B4B,burgundy,red,0.25,secondary,middle,2C1C1B,off-black,black,0.249,secondary,middle,D39E76,gold,yellow,0.099,accent,upper,gold upper,,input needed,,input needed,746C64,stone,686858;C8C8B8;787868,0.302,0.527,0.171,low,
content/swipe/fashion shows ss27/IMG_0811.png,content/swipe/fashion shows ss27,,input needed,131210,black,black,0.494,dominant,upper,3B3731,taupe,warm neutral,0.147,secondary,middle,D0A85C,gold,yellow,0.132,accent,middle,7A5B29,ochre,yellow,0.123,accent,middle,gold middle; ochre middle,,input needed,"black against butter-yellow check, wide value gap",given,846C5C,tobacco,786858;886858;887858,0.723,0.075,0.201,high,
content/swipe/fashion shows ss27/IMG_0812.png,content/swipe/fashion shows ss27,,input needed,51432C,olive,green,0.244,dominant,middle,291F18,espresso,brown,0.243,secondary,middle,D1C05D,mustard,yellow,0.201,accent,middle,A58D2C,mustard,yellow,0.161,accent,upper,mustard middle; mustard upper,,input needed,,input needed,846C5C,tobacco,786858;886858;887858,0.481,0.298,0.222,medium,
content/swipe/fashion shows ss27/IMG_0813.png,content/swipe/fashion shows ss27,,input needed,201E1E,black,black,0.939,dominant,middle,403123,espresso,brown,0.049,accent,upper,,,,,,,,,,,,,espresso upper,,input needed,,input needed,7C6454,tobacco,786858;886858;685848,0.871,0.021,0.107,high,
content/swipe/fashion shows ss27/IMG_0814.png,content/swipe/fashion shows ss27,,input needed,171514,black,black,0.506,dominant,middle,A5672D,ochre,yellow,0.353,secondary,upper,504737,olive,green,0.076,secondary,middle,D1C0B2,cream,warm neutral,0.05,secondary,upper,no accent,,input needed,,input needed,9C846C,tan,887868;987868;786858,0.771,0.089,0.141,high,
content/swipe/fashion shows ss27/IMG_0815.png,content/swipe/fashion shows ss27,,input needed,C9AC8A,tan,brown,0.416,dominant,lower,2F231D,espresso,brown,0.382,secondary,upper,AC9374,tan,brown,0.122,secondary,middle,BC9A60,gold,yellow,0.08,accent,lower,gold lower,,input needed,,input needed,846C5C,tobacco,685848;684828;786858,0.815,0.09,0.095,high,
content/swipe/fashion shows ss27/IMG_0817.png,content/swipe/fashion shows ss27,,input needed,1E2223,black,black,0.662,dominant,upper,C2C5C8,pale grey,cool neutral,0.258,secondary,lower,3D3938,taupe,warm neutral,0.055,secondary,middle,,,,,,,no accent,,input needed,,input needed,CCBCAC,oatmeal,B8A898;C8B8A8;F8F8F8,0.43,0.068,0.502,medium,
content/swipe/fashion shows ss27/IMG_0818.png,content/swipe/fashion shows ss27,,input needed,171B1B,black,black,0.881,dominant,middle,066BC9,denim blue,blue,0.052,accent,middle,DADBD9,pale grey,cool neutral,0.051,secondary,upper,,,,,,,denim blue middle,,input needed,,input needed,241404,espresso,988878;281808;A89878,0.741,0.047,0.212,high,
content/swipe/fashion shows ss27/IMG_0819.png,content/swipe/fashion shows ss27,,input needed,DCE5E6,white,white,0.895,dominant,middle,9DA7AA,light grey,grey,0.055,secondary,middle,,,,,,,,,,,,,no accent,,input needed,,input needed,9C8C74,tan,988878;B8A898;381808,0.722,0.025,0.253,high,
content/swipe/fashion shows ss27/IMG_0820.png,content/swipe/fashion shows ss27,,input needed,DBE1DF,pale grey,cool neutral,0.505,dominant,middle,0491D9,steel blue,blue,0.319,secondary,upper,B7C1C4,light grey,grey,0.136,secondary,lower,,,,,,,no accent,,input needed,"Vivid azure blue with soft butter yellow and white; one loud colour, two quiet",given,B4A494,oatmeal,988878;A89888;A89878,0.797,0.022,0.182,high,
content/swipe/fashion shows ss27/IMG_0821.png,content/swipe/fashion shows ss27,,input needed,736858,tobacco,brown,0.667,dominant,lower,C18730,ochre,yellow,0.105,accent,upper,302B22,espresso,brown,0.095,secondary,upper,ECEAD9,off-white,white,0.075,secondary,middle,ochre upper,,input needed,,input needed,BCAC9C,oatmeal,A89888;B8A898;A89878,0.123,0.01,0.867,low,
content/swipe/fashion shows ss27/IMG_0822.png,content/swipe/fashion shows ss27,,input needed,0E0E0E,black,black,0.592,dominant,middle,292C2D,black,black,0.362,secondary,middle,,,,,,,,,,,,,no accent,,input needed,,input needed,9C846C,tan,A89878;A89888;988868,0.891,0.079,0.03,high,
content/swipe/fashion shows ss27/IMG_0823.png,content/swipe/fashion shows ss27,,input needed,191D1E,black,black,0.565,dominant,middle,0D3C6E,navy,blue,0.201,secondary,upper,D2D7D3,pale grey,cool neutral,0.175,secondary,lower,,,,,,,no accent,,input needed,,input needed,BCAC9C,oatmeal,A89888;B8A898;A89878,0.831,0.037,0.132,high,
content/swipe/fashion shows ss27/IMG_0824.png,content/swipe/fashion shows ss27,,input needed,141716,black,black,0.933,dominant,middle,,,,,,,,,,,,,,,,,,,no accent,,input needed,,input needed,B4A48C,tan,B8A888;C8B8A8;382808,0.835,0.067,0.098,high,
content/swipe/fashion shows ss27/IMG_0825.png,content/swipe/fashion shows ss27,,input needed,CEDADC,pale grey,cool neutral,0.754,dominant,middle,92B6BF,steel blue,blue,0.152,accent,upper,4D3326,chocolate,brown,0.049,accent,lower,6B949F,steel blue,blue,0.044,accent,middle,steel blue upper; chocolate lower; steel blue middle,,input needed,"Three steps of pale blue with cream, very close hues, tiny lightness gaps",given,BCAC9C,oatmeal,988878;A89888;B8A898,0.701,0.123,0.176,high,
content/swipe/fashion shows ss27/IMG_0826.png,content/swipe/fashion shows ss27,,input needed,E3DECF,cream,warm neutral,0.585,dominant,middle,DADADD,pale grey,cool neutral,0.379,secondary,upper,,,,,,,,,,,,,no accent,,input needed,,input needed,A4947C,tan,A89888;A89878;382818,0.656,0.02,0.324,high,
content/swipe/fashion shows ss27/IMG_0827.png,content/swipe/fashion shows ss27,,input needed,BEC1B8,light grey,grey,0.511,dominant,middle,DDD7BE,sage,green,0.458,secondary,middle,,,,,,,,,,,,,no accent,,input needed,,input needed,A4947C,tan,988878;A89888;281808,0.778,0.048,0.174,high,
content/swipe/fashion shows ss27/IMG_0828.png,content/swipe/fashion shows ss27,,input needed,E2E7E9,white,white,0.366,dominant,upper,7CA3AC,steel blue,blue,0.231,secondary,lower,A4BFC1,sky,blue,0.209,secondary,middle,D5D1C0,cream,warm neutral,0.126,secondary,upper,no accent,,input needed,,input needed,9C8C74,tan,988878;381808;B8A898,0.775,0.019,0.206,high,
content/swipe/fashion shows ss27/IMG_0829.png,content/swipe/fashion shows ss27,,input needed,3C3330,taupe,warm neutral,0.66,dominant,middle,534C4A,taupe,warm neutral,0.213,secondary,middle,777271,stone,warm neutral,0.097,secondary,middle,,,,,,,no accent,,input needed,,input needed,AC9C84,tan,A89888;A89878;B8A898,0.927,0.001,0.072,high,
content/swipe/fashion shows ss27/IMG_0830.png,content/swipe/fashion shows ss27,,input needed,E0E2E0,pale grey,cool neutral,0.86,dominant,middle,302920,espresso,brown,0.071,secondary,middle,6F6251,tobacco,brown,0.057,secondary,middle,,,,,,,no accent,,input needed,,input needed,A48C74,tan,B8A898;C8B8A8;A89888,0.436,0.169,0.396,medium,
content/swipe/fashion shows ss27/IMG_0831.png,content/swipe/fashion shows ss27,,input needed,EDCCD4,blush,pink,0.519,dominant,middle,352D2C,taupe,warm neutral,0.403,secondary,upper,A88A8E,dusty rose,pink,0.051,secondary,middle,,,,,,,no accent,,input needed,,input needed,CCBCAC,oatmeal,B8A898;C8B8A8;A89878,0.733,0.056,0.211,high,
content/swipe/fashion shows ss27/IMG_0832.png,content/swipe/fashion shows ss27,,input needed,1D201F,black,black,0.954,dominant,middle,,,,,,,,,,,,,,,,,,,no accent,,input needed,,input needed,AC9C84,tan,A89888;B8A888;A89878,0.715,0.166,0.12,high,
content/swipe/fashion shows ss27/IMG_0833.png,content/swipe/fashion shows ss27,,input needed,E3E8E9,white,white,0.756,dominant,middle,CCCCC5,cream,warm neutral,0.235,secondary,middle,,,,,,,,,,,,,no accent,,input needed,,input needed,947C64,tan,A89888;A89878;887858,0.778,0.091,0.131,high,
content/swipe/fashion shows ss27/IMG_0835.png,content/swipe/fashion shows ss27,,input needed,E4EDEF,white,white,0.51,dominant,middle,472A1B,espresso,brown,0.246,secondary,lower,A78573,tan,brown,0.17,secondary,middle,A65127,rust,orange,0.052,accent,upper,rust upper,,input needed,,input needed,BCB4A4,oatmeal,C8B8A8;181818;B8B8A8,0.161,0.495,0.344,low,
content/swipe/fashion shows ss27/IMG_0836.png,content/swipe/fashion shows ss27,,input needed,3C251A,espresso,brown,0.744,dominant,lower,8F7A70,stone,warm neutral,0.163,secondary,middle,AFCFC4,pale grey,cool neutral,0.076,secondary,upper,,,,,,,no accent,,input needed,stone-greige with one rust accent,given,C4BCB4,oatmeal,080808;F8F8F8;C8B8B8,0.174,0.262,0.564,low,
content/swipe/fashion shows ss27/IMG_0837.png,content/swipe/fashion shows ss27,,input needed,A99692,oatmeal,warm neutral,0.487,dominant,middle,A6C8CA,sky,blue,0.244,secondary,upper,C5A68D,tan,brown,0.151,secondary,upper,9FC3B2,sage,green,0.097,secondary,upper,no accent,,input needed,,input needed,CCC4BC,cream,C8C8B8;F8F8F8;D8C8C8,0.041,0.22,0.739,low,
content/swipe/fashion shows ss27/IMG_0838.png,content/swipe/fashion shows ss27,,input needed,A03A28,rust,orange,0.322,dominant,middle,632015,rust,orange,0.283,secondary,middle,320F0B,off-black,black,0.193,accent,lower,A24853,red,red,0.191,accent,upper,off-black lower; red upper,,input needed,"oxblood against brick rust; one hue family, two values, nothing else",given,C4BCAC,oatmeal,F8F8F8;C8B8A8;080808,0.682,0.163,0.154,high,
content/swipe/fashion shows ss27/IMG_0839.png,content/swipe/fashion shows ss27,,input needed,973534,brick,red,0.4,dominant,middle,BD5755,brick,red,0.223,secondary,middle,541915,rust,orange,0.141,accent,lower,E6E9EF,white,white,0.141,secondary,lower,rust lower,,input needed,,input needed,BCB4AC,oatmeal,080808;B8B8A8;B8A898,0.667,0.304,0.029,high,
content/swipe/fashion shows ss27/IMG_0840.png,content/swipe/fashion shows ss27,,input needed,34272C,oxblood,red,0.403,dominant,middle,452621,espresso,brown,0.216,secondary,middle,514140,dark grey,grey,0.163,secondary,middle,9A7964,tobacco,brown,0.112,secondary,upper,no accent,,input needed,,input needed,F4F4FC,off-white,D8C8C8;F8F8F8;080808,0.207,0.271,0.521,low,
content/swipe/fashion shows ss27/IMG_0841.png,content/swipe/fashion shows ss27,,input needed,322D39,aubergine,purple,0.759,dominant,upper,EEF2F6,white,white,0.112,accent,middle,522616,espresso,brown,0.068,accent,lower,AC7B5D,tan,brown,0.061,accent,middle,white middle; espresso lower; tan middle,,input needed,,input needed,CCC4BC,cream,C8C8B8;C8B8B8;080808,0.411,0.105,0.485,medium,
content/swipe/fashion shows ss27/IMG_0842.png,content/swipe/fashion shows ss27,,input needed,28252F,navy,blue,0.843,dominant,middle,121115,black,black,0.104,secondary,middle,9CC1BF,light grey,grey,0.041,accent,upper,,,,,,,light grey upper,,input needed,,input needed,C4BCB4,oatmeal,C8C8B8;F8F8F8;C8B8B8,0.816,0.022,0.162,high,
content/swipe/fashion shows ss27/IMG_0843.png,content/swipe/fashion shows ss27,,input needed,A53B29,rust,orange,0.536,dominant,middle,852C1E,rust,orange,0.245,secondary,middle,4F1911,rust,orange,0.122,accent,lower,210D0A,off-black,black,0.067,accent,lower,rust lower; off-black lower,,input needed,head-to-toe rust with an oxblood bag and taupe shoe,given,F4F4FC,off-white,B8B8A8;C8B8A8;F8F8F8,0.746,0.067,0.186,high,
content/swipe/fashion shows ss27/IMG_0844.png,content/swipe/fashion shows ss27,,input needed,40241F,espresso,brown,0.342,dominant,lower,7E706C,stone,warm neutral,0.21,secondary,lower,42393B,dark grey,grey,0.208,secondary,middle,B2B0A6,oatmeal,warm neutral,0.132,secondary,upper,no accent,,input needed,,input needed,F4F4FC,off-white,B8B8A8;080808;F8F8F8,0.196,0.111,0.692,low,
content/swipe/fashion shows ss27/IMG_0845.png,content/swipe/fashion shows ss27,,input needed,DBC2AA,cream,warm neutral,0.527,dominant,upper,F2F4F7,white,white,0.24,secondary,lower,3D3134,dark grey,grey,0.126,secondary,middle,875A3D,taupe,warm neutral,0.071,accent,middle,taupe middle,,input needed,,input needed,B4ACA4,oatmeal,080808;A8A898;B8A8A8,0.5,0.035,0.465,medium,
content/swipe/fashion shows ss27/IMG_0846.png,content/swipe/fashion shows ss27,,input needed,201D28,aubergine,purple,0.928,dominant,lower,D4B99E,oatmeal,warm neutral,0.058,secondary,upper,,,,,,,,,,,,,no accent,,input needed,,input needed,CCC4BC,cream,C8C8B8;F8F8F8;D8D8C8,0.572,0.141,0.287,medium,
content/swipe/fashion shows ss27/IMG_0847.png,content/swipe/fashion shows ss27,,input needed,918993,mid grey,grey,0.303,dominant,middle,7B727D,mauve,purple,0.263,secondary,middle,A79FA9,light grey,grey,0.215,secondary,upper,615860,mid grey,grey,0.16,secondary,middle,no accent,,input needed,,input needed,FCFCFC,white,F8F8F8;D8D8C8;C8C8B8,0.813,0.021,0.167,high,
content/swipe/fashion shows ss27/IMG_0848.png,content/swipe/fashion shows ss27,,input needed,2B2A37,navy,blue,0.865,dominant,middle,B3C5C7,sky,blue,0.065,secondary,upper,A2C7BA,light grey,grey,0.042,secondary,upper,,,,,,,no accent,,input needed,,input needed,FCFCFC,white,F8F8F8;D8D8C8;080808,0.293,0.05,0.657,low,
content/swipe/fashion shows ss27/IMG_0849.png,content/swipe/fashion shows ss27,,input needed,241F24,off-black,black,0.508,dominant,upper,3E2926,espresso,brown,0.291,secondary,middle,4E464E,dark grey,grey,0.127,secondary,middle,,,,,,,no accent,,input needed,,input needed,FCFCFC,white,F8F8F8;D8D8C8;D8C8C8,0.563,0.306,0.131,medium,
content/swipe/fashion shows ss27/IMG_0850.png,content/swipe/fashion shows ss27,,input needed,232129,off-black,black,0.671,dominant,middle,3A3642,aubergine,purple,0.305,secondary,upper,,,,,,,,,,,,,no accent,,input needed,"Solid black against cream curtains and warm wood floor, one large dark mass",given,D4CCC4,cream,D8C8B8;D8D8C8;D8C8C8,0.947,0.02,0.033,high,
content/swipe/fashion shows ss27/IMG_0851.png,content/swipe/fashion shows ss27,,input needed,9B8CD5,violet,purple,0.475,dominant,middle,B89BA1,dusty rose,pink,0.199,secondary,middle,614F7F,violet,purple,0.16,secondary,middle,59343C,oxblood,red,0.1,accent,middle,oxblood middle,,input needed,"Lilac and gold against teal panels and rust floor; cool dress, hot surroundings",given,040404,black,080808;0878A8;C86858,0.795,0.121,0.084,high,
content/swipe/fashion shows ss27/IMG_0852.png,content/swipe/fashion shows ss27,,input needed,421A1B,oxblood,red,0.371,dominant,lower,E17F71,terracotta,orange,0.287,secondary,middle,765C62,burgundy,red,0.161,secondary,middle,DBABB2,dusty rose,pink,0.147,accent,middle,dusty rose middle,,input needed,,input needed,A44C44,brick,A84848;084858;086898,0.3,0.443,0.257,low,
content/swipe/fashion shows ss27/IMG_0853.png,content/swipe/fashion shows ss27,,input needed,261C20,off-black,black,0.895,dominant,middle,5C1C15,rust,orange,0.057,accent,middle,,,,,,,,,,,,,rust middle,,input needed,,input needed,A44C44,brick,083848;082838;984838,0.781,0.089,0.13,high,
content/swipe/fashion shows ss27/IMG_0854.png,content/swipe/fashion shows ss27,,input needed,363745,navy,blue,0.457,dominant,middle,51566B,denim blue,blue,0.316,secondary,upper,066283,denim blue,blue,0.088,accent,middle,5B2922,chocolate,brown,0.08,accent,lower,denim blue middle; chocolate lower,,input needed,,input needed,040404,black,080808;984838;B85848,0.787,0.077,0.136,high,
content/swipe/fashion shows ss27/IMG_0855.png,content/swipe/fashion shows ss27,,input needed,7CA2C0,steel blue,blue,0.68,dominant,middle,C2B3B4,light grey,grey,0.152,secondary,middle,6A2314,rust,orange,0.098,accent,lower,67646F,mid grey,grey,0.056,secondary,middle,rust lower,,input needed,,input needed,B44C34,rust,B84838;B85838;086898,0.815,0.121,0.064,high,
content/swipe/fashion shows ss27/IMG_0856.png,content/swipe/fashion shows ss27,,input needed,8C5170,raspberry,pink,0.54,dominant,middle,6C3751,plum,purple,0.177,accent,middle,68536D,plum,purple,0.121,secondary,middle,56201D,rust,orange,0.12,accent,lower,plum middle; rust lower,,input needed,,input needed,9C443C,rust,984838;080808;083848,0.831,0.071,0.098,high,
content/swipe/fashion shows ss27/IMG_0857.png,content/swipe/fashion shows ss27,,input needed,6B738F,violet,purple,0.378,dominant,upper,483834,taupe,warm neutral,0.26,secondary,lower,6B6774,mid grey,grey,0.198,secondary,middle,2A1917,espresso,brown,0.109,secondary,lower,no accent,,input needed,,input needed,A44C3C,rust,085878;087898;084858,0.81,0.123,0.067,high,
content/swipe/fashion shows ss27/IMG_0858.png,content/swipe/fashion shows ss27,,input needed,503F3F,dark grey,grey,0.573,dominant,upper,A69388,oatmeal,warm neutral,0.168,secondary,lower,522721,espresso,brown,0.11,accent,lower,211717,off-black,black,0.106,secondary,upper,espresso lower,,input needed,,input needed,A44C44,brick,084858;085888;085878,0.54,0.37,0.089,medium,
content/swipe/fashion shows ss27/IMG_0859.png,content/swipe/fashion shows ss27,,input needed,18181F,navy,blue,0.371,dominant,middle,323339,dark grey,grey,0.356,secondary,middle,525355,dark grey,grey,0.219,secondary,middle,,,,,,,no accent,,input needed,,input needed,04546C,denim blue,085878;0888A8;085888,0.784,0.098,0.117,high,
content/swipe/fashion shows ss27/IMG_0860.png,content/swipe/fashion shows ss27,,input needed,200D17,oxblood,red,0.348,dominant,middle,43293C,plum,purple,0.347,secondary,middle,532315,rust,orange,0.143,accent,middle,37100F,off-black,black,0.119,accent,upper,rust middle; off-black upper,,input needed,"ochre against plum against a teal wall — the reference opposition, on a set",given,9C443C,rust,984838;083858;084858,0.781,0.072,0.147,high,
content/swipe/fashion shows ss27/IMG_0861.png,content/swipe/fashion shows ss27,,input needed,C9C0D0,lilac,purple,0.567,dominant,middle,AA91A0,mauve,purple,0.23,secondary,middle,591A19,rust,orange,0.127,accent,middle,23090A,oxblood,red,0.053,accent,upper,rust middle; oxblood upper,,input needed,,input needed,A44C3C,rust,084858;984838;A84848,0.837,0.078,0.085,high,
content/swipe/fashion shows ss27/IMG_0862.png,content/swipe/fashion shows ss27,,input needed,1C1B1D,black,black,0.528,dominant,middle,F0EBDB,off-white,white,0.253,secondary,middle,9E988D,oatmeal,warm neutral,0.082,secondary,middle,AF3135,brick,red,0.077,accent,middle,brick middle,,input needed,"Black and ivory print with strong red accents in bag, hem and shoes",given,4C4444,dark grey,584848;785848;484848,0.839,0.045,0.117,high,
content/swipe/fashion shows ss27/IMG_0863.png,content/swipe/fashion shows ss27,,input needed,161518,black,black,0.782,dominant,middle,5F151A,rust,orange,0.149,accent,middle,F9E8C8,butter,yellow,0.063,accent,middle,,,,,,,rust middle; butter middle,,input needed,black with a butter-yellow band and two oxblood notes,given,5C3C34,chocolate,584848;585858;685858,0.887,0.087,0.026,high,
content/swipe/fashion shows ss27/IMG_0864.png,content/swipe/fashion shows ss27,,input needed,BE232F,brick,red,0.697,dominant,middle,811820,rust,orange,0.109,accent,middle,38181C,oxblood,red,0.106,accent,middle,5E1A20,oxblood,red,0.088,accent,middle,rust middle; oxblood middle; oxblood middle,,input needed,"Hot red against black with white shoes; two colours, one bright break at the floor",given,5C3C34,chocolate,584848;181818;585858,0.417,0.008,0.575,medium,
content/swipe/fashion shows ss27/IMG_0865.png,content/swipe/fashion shows ss27,,input needed,2A272A,black,black,0.48,dominant,lower,110E0E,black,black,0.309,secondary,middle,B89D8F,tan,brown,0.156,secondary,upper,C73C40,brick,red,0.043,accent,upper,brick upper,,input needed,,input needed,5C5454,dark grey,584848;787878;986858,0.134,0.399,0.467,low,
content/swipe/fashion shows ss27/IMG_0866.png,content/swipe/fashion shows ss27,,input needed,D9D5D1,cream,warm neutral,0.784,dominant,upper,2F2E38,dark grey,grey,0.139,secondary,middle,736B65,stone,warm neutral,0.044,secondary,middle,,,,,,,no accent,,input needed,,input needed,B4A4A4,light grey,B8A8A8;B8A898;080808,0.313,0.028,0.659,low,
content/swipe/fashion shows ss27/IMG_0868.png,content/swipe/fashion shows ss27,,input needed,1A1B22,navy,blue,0.977,dominant,middle,,,,,,,,,,,,,,,,,,,no accent,,input needed,,input needed,B4A4A4,light grey,B8A8A8;B8A898;C8B8A8,0.868,0.052,0.08,high,
content/swipe/fashion shows ss27/IMG_0869.png,content/swipe/fashion shows ss27,,input needed,D5D1D0,cream,warm neutral,0.487,dominant,middle,829092,mid grey,grey,0.221,secondary,upper,666A69,mid grey,grey,0.146,secondary,middle,2A292C,black,black,0.103,secondary,middle,no accent,,input needed,,input needed,BCA494,tan,B89888;B8A898;B88868,0.635,0.079,0.287,high,
