B020-P001 | bottom | wide-leg tailored trousers | smooth wool suiting | solid | 2 | 3 | on model | yes | barenavenezia.com | BARENA VENEZIA | Trousers Nini Flan Nero | NONE | NONE | NONE | name read from Safari tab; Translate page prompt overlays header
B021-P006 | top | knitted long-sleeve polo | fine knit | solid | 2 | 2 | flat packshot | yes | massimoalba.com | massimo alba | LUCY Cashmere Polo | Mosto | Cashmere | €895 | two colour swatches; Recently Viewed row below
B021-P007 | multiple | listing grid of t-shirt shirt cardigan | mixed | mixed | 2 | 2 | listing grid | no | massimoalba.com | massimo alba | NONE | NONE | NONE | NONE | tiles LISBONA RENE' MASA UMA; tab title Women FW26 - Page 2
B021-P008 | multiple | listing grid of cardigan shirt cushions | mixed | mixed | 2 | 2 | listing grid | no | massimoalba.com | NONE | NONE | NONE | NONE | NONE | tiles MASA UMA DEMETRA SYRMA20 with prices; cushions in row below
B021-P009 | accessory | large printed stole scarf | fine printed woven | print | 1 | 2 | flat packshot | yes | massimoalba.com | NONE | STOLE - Cashmere and | Tibetan Red | NONE | NONE | tab title truncated; three colour swatches; on-model view below
B021-P010 | bottom | wide-leg gabardine trousers | smooth twill | solid | 2 | 2 | flat packshot | yes | massimoalba.com | massimo alba | LAMIA Cotton Gabardine Trousers | Panna | Cotton Gabardine | €460 | three colour swatches; on-model crop below; size row 36-48
B021-P011 | bottom | wide-leg gabardine trousers | smooth twill | solid | 2 | 2 | on model | yes | massimoalba.com | massimo alba | LAMIA Cotton Gabardine Trousers | Panna | Cotton Gabardine | €460 | front and back on-model crops; three colour swatches
B021-P012 | top | chunky roll-neck sweater | marled chunky knit | marl | 3 | 2 | flat packshot | yes | massimoalba.com | NONE | VIRGINIA Virgin Wool And Alpaca Sweater | Raspberry | Virgin Wool And Alpaca | €690 | on-model view below; size row XXS-XXL
B021-P013 | layer | belted single-breasted trench coat | smooth gabardine | solid | 3 | 3 | flat packshot | yes | lardini.com | LARDINI | Beige wool gabardine tre | NONE | NONE | NONE | product name read from truncated tab; LARDINI neck label visible
B021-P014 | layer | belted single-breasted trench coat | smooth gabardine | solid | 3 | 3 | on model | yes | lardini.com | LARDINI | BEIGE WOOL GABARDINE TRENCH COAT | NONE | WOOL GABARDINE | €1.195,00 | model head cropped above frame; five image dots
B021-P015 | bottom | wide-leg pleated trousers | flannel | solid | 3 | 3 | flat packshot | yes | lardini.com | LARDINI | Black flannel trousers | NONE | NONE | NONE | name read from breadcrumb Home Women Ready To Wear Pants & Skirts
B021-P016 | layer | single-breasted two-button blazer | smooth gabardine | solid | 2 | 3 | on model | yes | lardini.com | LARDINI | BEIGE WOOL GABARDINE BLAZER | NONE | WOOL GABARDINE | €915,00 | worn with matching trousers; model head cropped above frame
B021-P017 | layer | single-breasted two-button blazer | smooth gabardine | solid | 2 | 3 | flat packshot | yes | lardini.com | LARDINI | BEIGE WOOL GABARDINE BLAZER | NONE | WOOL GABARDINE | €915,00 | LARDINI neck label and dark lapel pin visible
B021-P018 | layer | short double-breasted boucle pea coat | boucle | solid | 4 | 3 | flat packshot | yes | lardini.com | LARDINI | SHORT DOUBLE-BREASTED PEA COAT IN ALPACA AND MOHAIR BOUCLÉ | NONE | ALPACA AND MOHAIR BOUCLÉ | €1.125,00 | LARDINI neck label visible; price partly cut at bottom edge
B021-P019 | layer | short collared button-front jacket | textured wool weave | solid | 3 | 3 | flat packshot | yes | lardini.com | LARDINI | BLACK SHORT JACKET | NONE | NONE | €925,00 | LARDINI neck label visible; five image dots
B021-P020 | layer | short collared button-front jacket | textured wool weave | solid | 3 | 3 | on model | yes | lardini.com | LARDINI | BLACK SHORT JACKET | NONE | NONE | €925,00 | styled with long flared black skirt; model head cropped
B021-P021 | layer | short double-breasted peacoat | smooth brushed wool | solid | 4 | 3 | flat packshot | yes | lardini.com | LARDINI | SHORT BEIGE PEACOAT | NONE | NONE | NONE | title partly cut at bottom edge; LARDINI label and lapel pin visible
B021-P022 | layer | short double-breasted peacoat | smooth brushed wool | solid | 4 | 3 | on model | yes | lardini.com | LARDINI | SHORT BEIGE PEACOAT | NONE | NONE | €945,00 | worn with brown wide-leg trousers; model head cropped above frame
B021-P023 | top | oversized V-neck sweater | fine knit | solid | 2 | 2 | flat packshot | yes | lardini.com | LARDINI | BROWN OVERSIZED SWEATER IN WOOL AND CASHMERE | NONE | WOOL AND CASHMERE | NONE | title partly cut at bottom edge; LARDINI neck label visible
