B021-P024 | top | oversized wool-cashmere sweater under jacket | unclear | solid | 3 | 3 | on model | no | lardini.com | LARDINI | BROWN OVERSIZED SWEATER IN WOOL AND CASHMERE | NONE | NONE | €415,00 | full look on model, sweater largely hidden by jacket, head cropped
B022-P011 | multiple | listing grid of fur-effect jacket, parka, long puffer, cape | mixed | mixed | 4 | 2 | listing grid | no | herno.com | HERNO | NONE | NONE | NONE | NONE | grid, MELANGE MINK-EFFECT JACKET CHF575, cape CHF655, prices to CHF995
B022-P012 | multiple | listing grid of fur-effect jackets, long puffer, gilet | mixed | mixed | 4 | 2 | listing grid | no | herno.com | HERNO | NONE | NONE | NONE | NONE | grid, CURLY-EFFECT FUR-TOUCH SHORT JACKET CHF545, vest named GIULIA
B022-P013 | multiple | listing grid of cardigan, trousers, bag, sunglasses, jacket, skirt | mixed | mixed | 2 | 3 | listing grid | no | de.maxmara.com | MaxMara | NONE | NONE | NONE | NONE | German Neuheiten grid, titles name fibres, bottom row cropped
B022-P014 | multiple | listing grid of gloves, skirt, knits, coats, top | mixed | mixed | 3 | 3 | listing grid | no | de.maxmara.com | MaxMara | NONE | NONE | NONE | NONE | German grid, camel colour story, farben counts shown, rows cropped
B022-P015 | multiple | listing grid of trousers, bag, coat, dress, skirt, gloves, knits | mixed | mixed | 3 | 3 | listing grid | no | de.maxmara.com | MaxMara | NONE | NONE | NONE | NONE | German grid, red-brown colour story, prices 365,00 to 2.299,00 euro
B022-P016 | multiple | listing grid of top, skirt, belt, jumper, bag, boots, blouse | mixed | mixed | 2 | 3 | listing grid | no | de.maxmara.com | MaxMara | NONE | NONE | NONE | NONE | German grid, dark colour story, live-chat bubble bottom right
B022-P017 | multiple | listing grid of sweatshirt, joggers, belt, loafers, jacket, skirt, bag | mixed | mixed | 2 | 2 | listing grid | no | de.maxmara.com | MaxMara | NONE | NONE | NONE | NONE | German grid, Jacke aus Wildleder 4.495,00 euro is top price shown
B022-P018 | multiple | listing grid of coat, turtleneck, belt, bag, foulard, boots, dress | mixed | mixed | 3 | 3 | listing grid | no | de.maxmara.com | MaxMara | NONE | NONE | NONE | NONE | German grid, camel and tan story, farben counts shown, rows cropped
B022-P019 | multiple | listing grid of cardigan, top, trousers, belt, coat, blazer | mixed | mixed | 3 | 3 | listing grid | no | de.maxmara.com | MaxMara | NONE | NONE | NONE | NONE | German grid, blush then burgundy rows, Robenmantel 3.029,00 euro
B022-P020 | multiple | listing grid of sweatshirt, joggers, dress, gloves, blazer, skirt, bag | mixed | mixed | 3 | 3 | listing grid | no | de.maxmara.com | MaxMara | NONE | NONE | NONE | NONE | German grid, camel to brown story, chat bubble bottom right
B022-P021 | multiple | listing grid of coat, jumper, boots, sunglasses, blazer, trousers, dress | mixed | mixed | 3 | 3 | listing grid | no | de.maxmara.com | MaxMara | NONE | NONE | NONE | NONE | German grid, Max Mara login banner overlays bottom row
B022-P022 | multiple | listing grid with lookbook shot plus cashmere knits and skirts | mixed | mixed | 3 | 3 | listing grid | no | de.maxmara.com | MAX MARA | NONE | NONE | NONE | NONE | English titles, shoppable lookbook image with hotspot dots, login banner
B023-P001 | multiple | listing grid of coat, sweaters, trousers, shirt, cardigan | mixed | mixed | 3 | 3 | listing grid | no | de.maxmara.com | MAX MARA | NONE | NONE | NONE | NONE | English titles, Ludmilla Icon Coat 3.799,00 euro, shoppable model shot right
B023-P002 | multiple | listing grid of caban, satin blouse, trousers, coats, cardigan | mixed | mixed | 3 | 3 | listing grid | no | de.maxmara.com | 'S MAX MARA | NONE | NONE | NONE | NONE | German titles, shoppable model image with hotspot dots, login banner
B023-P003 | multiple | listing grid of caban, satin blouse, trousers, coats, cardigan | mixed | mixed | 3 | 3 | listing grid | no | de.maxmara.com | 'S MAX MARA | NONE | NONE | NONE | NONE | same page as B023-P002, slightly zoomed and shifted left
