B041-P008 | top | half-zip knitted sweater | fine knit | solid | 3 | 2 | on model | yes | studionicholson.com | NONE | NONE | NONE | NONE | £425 | Cream collar and grey trousers layered under; Apple Pay bar visible
B042-P010 | dress | halter maxi knit dress | matte jersey with beaded piping | solid | 2 | 4 | flat packshot | yes | diotima.world | diotīma | Mane Dress | Black | 83% Viscose 17% Polyester | $1,895.00 USD | Detail crop above the packshot; page also prints Made in China
B042-P011 | dress | halter maxi knit dress | matte jersey with beaded piping | solid | 2 | 4 | on model | yes | diotima.world | diotīma | Mane Dress | Black | 83% Viscose 17% Polyester | $1,895.00 USD | Two on-model shots, front and three-quarter
B042-P012 | multiple | listing grid fur coat dress knit skirt | unclear | mixed | 3 | 3 | listing grid | no | NONE | NONE | NONE | NONE | NONE | NONE | iOS Low Data Mode banner hides URL bar; monogram badge bottom right
B042-P013 | layer | oversized fur jacket over tank dress | long-pile fur | solid | 4 | 3 | on model | yes | toteme.com | NONE | NONE | NONE | NONE | NONE | Styled full look: jacket, dress, clutch, gloves, boots, necklace
B042-P014 | dress | sleeveless racer-neck maxi dress | fine rib jersey | solid | 2 | 3 | flat packshot | yes | toteme.com | NONE | NONE | NONE | NONE | NONE | Small woven logo tab and zip at back neck; no page text
B042-P015 | layer | wool blazer with draped scarf collar | brushed wool melange | marl | 3 | 3 | on model | yes | toteme.com | NONE | NONE | NONE | NONE | NONE | Full look with matching wide trousers, black top, chain necklace
B042-P016 | layer | scarf-collar brushed wool jacket | brushed wool melange | marl | 3 | 3 | detail | no | toteme.com | NONE | NONE | NONE | NONE | NONE | Close crop on collar and chest; garment runs off every edge
B042-P017 | layer | shearling-trimmed cotton parka | cotton twill with curly shearling | solid | 4 | 2 | on model | yes | toteme.com | NONE | NONE | NONE | NONE | NONE | Styled with jeans, black tote and black boots
B042-P018 | layer | double-breasted shearling-lined parka | cotton twill with curly shearling | solid | 4 | 2 | flat packshot | yes | toteme.com | NONE | NONE | NONE | NONE | NONE | Monogram label at inside neck; no page text visible
B042-P019 | multiple | listing grid parka trousers dress coat | unclear | mixed | 3 | 3 | listing grid | no | toteme.com | NONE | NONE | NONE | NONE | NONE | Titles and euro prices printed, plus 2 colors markers; rows cropped
B042-P020 | layer | cropped boxy check wool jacket | tonal houndstooth wool | check | 3 | 3 | flat packshot | yes | toteme.com | NONE | NONE | NONE | NONE | NONE | Sleeves laid straight down; hanging chain at neck
B042-P021 | dress | sleeveless drop-waist dress | jersey bodice with textured check skirt | mixed | 2 | 3 | on model | yes | toteme.com | NONE | NONE | NONE | NONE | NONE | Side view; may be a separate top and skirt, not one dress
B042-P022 | bottom | a-line mini skirt | tonal woven check wool | check | 3 | 3 | flat packshot | yes | toteme.com | NONE | NONE | NONE | NONE | NONE | Laid flat, back zip at side seam; no page text visible
B042-P023 | bottom | a-line mini skirt | tonal woven check wool | check | 3 | 3 | detail | no | toteme.com | NONE | NONE | NONE | NONE | NONE | Waist-to-hem crop on model; sides and hem run off frame
B042-P024 | top | oversized roll-neck knit jumper | chunky knit | solid | 3 | 2 | on model | yes | toteme.com | NONE | NONE | NONE | NONE | NONE | Cream colourway styled with black leather-look trousers and mules
B042-P025 | top | oversized roll-neck knit jumper | chunky knit | solid | 3 | 2 | flat packshot | yes | toteme.com | NONE | NONE | NONE | NONE | NONE | Cream colourway laid flat; ribbed neck, cuffs and hem
B042-P026 | top | oversized roll-neck knit jumper | chunky marl knit | marl | 3 | 2 | on model | yes | toteme.com | NONE | NONE | NONE | NONE | NONE | Pale blue colourway styled with jeans and dark red mules
B042-P027 | top | oversized roll-neck knit jumper | chunky marl knit | marl | 3 | 2 | flat packshot | yes | toteme.com | NONE | NONE | NONE | NONE | NONE | Pale blue colourway laid flat; same shape as cream packshot
