B011-P006 | layer | single-breasted lightweight coat | smooth matte woven | solid | 2 | 2 | flat packshot | yes | aspesi.com | NONE | NONE | NAVY | NONE | NONE | zoomed colour swatch row, three colourways, size row XXS-L
B015-P005 | bottom | wide-leg smooth velvet trousers | smooth velvet | solid | 2 | 2 | on model | yes | ASPESI | ASPESI | PANTALONE AMPIO IN VELLUTO LISCIO | BARBERA | in velluto liscio di cotone tinto in capo | €340,00 | rear on-model view plus back-pocket detail; several sizes struck through
B016-P001 | bottom | wide-leg smooth velvet trousers | smooth velvet | solid | 2 | 2 | flat packshot | yes | ASPESI | ASPESI | PANTALONE AMPIO IN VELLUTO LISCIO | BARBERA | in velluto liscio di cotone tinto in capo | €340,00 | four colourway swatches; on-model shot with teddy coat below
B016-P002 | top | v-neck fine knit jumper | fine knit | solid | 2 | 2 | flat packshot | yes | aspesi.com | NONE | NONE | MARRONE | NONE | €250,00 | zoomed page; colour swatch row of four colourways
B016-P003 | top | v-neck wool yak cashmere jumper | brushed fine knit | marl | 2 | 2 | flat packshot | yes | ASPESI | ASPESI | MAGLIA CON SCOLLO A V IN LANA, YAK E CASHMERE | TORTORA | in un pregiato filato di lana, yak e cashmere | €290,00 | two colourway swatches; size 48 struck through
B016-P004 | multiple | crew-neck and mock-neck knit jumpers | fine knit | solid | 2 | 2 | listing grid | no | ASPESI | ASPESI | Maglia girocollo in lana merino / Maglia dolcevita in lana merino | NONE | NONE | €230,00 / €250.00 | single-column listing, colour dots per card, second card cropped
B017-P001 | layer | v-neck fine merino cardigan | fine knit | solid | 2 | 2 | flat packshot | yes | ASPESI | ASPESI | CARDIGAN IN LANA MERINO | MARRONE | in lana merino ultraleggera | €195,00 | two colourway swatches; sizes 46 and 48 struck through
B018-P001 | top | long-sleeve knit polo | ribbed fine knit | solid | 2 | 3 | flat packshot | yes | ASPESI | ASPESI | POLO IN CASHMERE | NAVY | in puro cashmere | €430,00 | three colourway swatches; sizes 46 and 48 struck through
B018-P002 | bottom | straight-leg corduroy trousers | corduroy | solid | 3 | 2 | on model | yes | ASPESI | ASPESI | PANTALONE IN VELLUTO A COSTE CON ELASTICO | BARBERA | in velluto di cotone tinto in capo a coste 500 righe | €270,00 | rear on-model view plus pocket detail; four colourway swatches
B018-P003 | multiple | v-neck jumper and full midi skirt | fine knit and taffeta-look woven | solid | 2 | 2 | listing grid | no | ASPESI | ASPESI | Abito midi in modal con motivo check / Maglia con scollo a v in lana merino | NONE | NONE | €790,00 / €250,00 | listing grid, colour dots per card, right column cropped
B019-P001 | bottom | A-line crepe wrap midi skirt | matte crepe | solid | 2 | 3 | flat packshot | yes | ASPESI | ASPESI | GONNA SVASATA IN CREPE CADY | NERO | in crepe cady in triacetato di poliestere riciclato | €590,00 | one colourway; sizes 34, 36, 46, 48 struck through
B019-P002 | accessory | knitted balaclava hood | brushed mohair knit | solid | 3 | 1 | on model | yes | ASPESI | ASPESI | BALACLAVA IN MOHAIR E LANA | AZZURRO | in un morbido filato di mohair e lana | €150,00 | two colourway swatches; one size UNIC; two on-model crops
B019-P003 | layer | cropped jacket with patch pockets | brushed wool-look twill | solid | 3 | 2 | on model | yes | barenavenezia.com | BARENA VENEZIA | NONE | NONE | NONE | NONE | side view; browser tab reads Coat Aria Caramal Patch, truncated
B019-P004 | layer | cropped jacket with patch pockets | brushed wool-look twill | solid | 3 | 2 | on model | yes | barenavenezia.com | BARENA VENEZIA | NONE | NONE | NONE | NONE | front view; browser tab reads Coat Aria Caramal Patch, truncated
B019-P005 | layer | short checked drawstring jacket | brushed wool check | check | 3 | 2 | on model | no | barenavenezia.com | BARENA VENEZIA | Coat Aria Fasser Unico | NONE | 100% WV | €790 | rear crop, jacket top cut off; description mentions washed lambswool
B019-P006 | multiple | womens coats and jackets | wool-look woven | mixed | 3 | 2 | listing grid | no | barenavenezia.com | BARENA VENEZIA | COAT ARIA FASSER UNICO / COAT GIONA FLAN NAVY / COAT EOLO REAL BRUNO / COAT GRECALE ALTIER GRIGIO / COAT GIANNI CARAMAL NAVY / COAT OVIDIO CARAMAL NAVY | NONE | NONE | €790 / €620 / €1,750 / €490 / €990 / €990 | Women listing page; third row cropped; FILTER & SORT bar
B019-P007 | multiple | knit cardigans and roll-necks | fine knit | solid | 2 | 2 | listing grid | no | barenavenezia.com | BARENA VENEZIA | KNITWEAR ERNESTO MULINO GRANITO / KNITWEAR ERNESTO MULINO BRUNO / KNITWEAR VANNI RIBERA NAVY / KNITWEAR ZEA PIUMA CREMA / KNITWEAR OTTAVIA PIUMA ROSSO / KNITWEAR OTTAVIA PIUMA CREMA | NONE | NONE | €410 / €410 / €560 / €490 / €360 / €360 | knitwear listing; one SOLD OUT tag; one title partly obscured, omitted
