B068-P032 | top | oversized crew-neck knit jumper | chunky knit | solid | 3 | 2 | flat packshot | yes | colorfulstandard.com | NONE | Oversized Merino Wool Crew | IVORY WHITE | NONE | €120 | layout=centred; fibre words only in product name; neck label too small to read
B068-P043 | top | oversized crew-neck knit jumper | chunky knit | solid | 3 | 2 | flat packshot | yes | colorfulstandard.com | NONE | Oversized Merino Wool Crew | DUSTY OLIVE | NONE | €120 | layout=centred; fibre words only in product name; neck label too small to read
B068-P044 | top | oversized crew-neck knit jumper | chunky knit | solid | 3 | 2 | flat packshot | yes | colorfulstandard.com | NONE | Oversized Merino Wool Crew | HUNTER GREEN | NONE | €120 | layout=centred; fibre words only in product name; neck label too small to read
B068-P045 | top | oversized crew-neck knit jumper | chunky knit | solid | 3 | 2 | flat packshot | yes | colorfulstandard.com | NONE | Oversized Merino Wool Crew | OCEAN GREEN | NONE | €120 | layout=centred; size row partly visible; fibre words only in product name
B068-P046 | top | oversized crew-neck knit jumper | chunky knit | solid | 3 | 2 | flat packshot | yes | colorfulstandard.com | NONE | Oversized Merino Wool Crew | SEASIDE BLUE | NONE | €120 | layout=centred; fibre words only in product name; neck label too small to read
B068-P047 | top | oversized crew-neck knit jumper | chunky knit | solid | 3 | 2 | flat packshot | yes | colorfulstandard.com | NONE | Oversized Merino Wool Crew | PACIFIC BLUE | NONE | €120 | layout=centred; fibre words only in product name; neck label too small to read
B068-P048 | top | oversized crew-neck knit jumper | chunky knit | solid | 3 | 2 | on model | no | colorfulstandard.com | NONE | Oversized Merino Wool Crew | PACIFIC BLUE | NONE | €120 | layout=centred; second carousel image; on-model colour lighter than P047 flat
B068-P049 | top | oversized crew-neck knit jumper | chunky knit | solid | 3 | 2 | on model | no | colorfulstandard.com | NONE | Oversized Merino Wool Crew | OCEAN GREEN | NONE | €120 | layout=centred; second carousel image; on-model colour bluer than P045 flat
B068-P050 | top | oversized crew-neck knit jumper | chunky knit | solid | 3 | 2 | flat packshot | yes | colorfulstandard.com | NONE | Oversized Merino Wool Crew | MARINE BLUE | NONE | €120 | layout=centred; size row XXS-2XL partly visible; fibre words only in product name
B068-P051 | top | oversized crew-neck knit jumper | chunky knit | solid | 3 | 2 | flat packshot | yes | colorfulstandard.com | NONE | Oversized Merino Wool Crew | PETROL BLUE | NONE | €120 | layout=centred; fibre words only in product name; neck label too small to read
B068-P052 | top | oversized crew-neck knit jumper | chunky knit | solid | 3 | 2 | flat packshot | yes | colorfulstandard.com | NONE | Oversized Merino Wool Crew | NAVY BLUE | NONE | €120 | layout=centred; size row partly visible; fibre words only in product name
B068-P053 | top | oversized crew-neck knit jumper | chunky knit | solid | 3 | 2 | flat packshot | yes | colorfulstandard.com | NONE | Oversized Merino Wool Crew | SOFT LAVENDER | NONE | €120 | layout=centred; size row partly visible; fibre words only in product name
B068-P054 | top | oversized crew-neck knit jumper | chunky knit | solid | 3 | 2 | flat packshot | yes | colorfulstandard.com | NONE | Oversized Merino Wool Crew | ULTRA VIOLET | NONE | €120 | layout=centred; fibre words only in product name; neck label too small to read
B068-P055 | top | oversized turtleneck knit jumper | chunky knit | marl | 3 | 2 | flat packshot | yes | colorfulstandard.com | NONE | Merino Wool Turtleneck | SNOW MELANGE | NONE | €140 | layout=centred; different product (turtleneck), 38 reviews; no neck label visible
B068-P056 | top | oversized turtleneck knit jumper | chunky knit | marl | 3 | 2 | flat packshot | yes | colorfulstandard.com | NONE | Merino Wool Turtleneck | HEATHER GREY | NONE | €140 | layout=centred; turtleneck; fibre words only in product name
B068-P057 | top | oversized turtleneck knit jumper | chunky knit | marl | 3 | 2 | on model | no | colorfulstandard.com | NONE | Merino Wool Turtleneck | HEATHER GREY | NONE | €140 | layout=centred; on-model view of P056 colourway
B068-P058 | top | oversized turtleneck knit jumper | chunky knit | solid | 3 | 2 | flat packshot | yes | colorfulstandard.com | NONE | Merino Wool Turtleneck | LAVA GREY | NONE | €140 | layout=centred; turtleneck; fibre words only in product name
