B028-P006 | multiple | listing grid of coat, pants, bag, boots | leather, knit, wool | mixed | 3 | 3 | listing grid | no | lemaire.fr | NONE | NONE | NONE | NONE | NONE | grid rows: wrap coat, leather pants, croissant bag, ankle boots
B030-P002 | top | short-sleeve fine-knit sweater | fine knit | marl | 1 | 2 | on model | yes | lemaire.fr | NONE | SHORT SLEEVE SWEATER IN FINE MERINO WOOL | Chai melange | Fine merino wool | NONE | full-length shot with dark leather-look trousers
B030-P003 | top | short-sleeve boat-neck knit top | fine knit | marl | 1 | 2 | flat packshot | yes | lemaire.fr | LEMAIRE | SHORT SLEEVE SWEATER IN FINE MERINO WOOL | Chai melange | Fine merino wool | NONE | LEMAIRE neck label legible; colour swatch row visible
B030-P004 | top | short-sleeve boat-neck knit top | fine knit | marl | 1 | 2 | flat packshot | yes | lemaire.fr | LEMAIRE | NONE | NONE | NONE | NONE | dark brown colourway; product text scrolled out of frame
B030-P005 | multiple | listing grid of pants, knit, shoe, card holder | wool, leather | mixed | 2 | 3 | listing grid | no | lemaire.fr | NONE | NONE | NONE | NONE | NONE | prices 180€ to 590€ visible across four tiles
B030-P006 | multiple | listing grid of dress, jewel, cardigan, slingback | knit, leather, brass | mixed | 3 | 3 | listing grid | no | lemaire.fr | NONE | NONE | NONE | NONE | NONE | prices 180€ to 1,390€ visible across four tiles
B030-P007 | multiple | listing grid of skirt, jumper, dress, scarf, coat | poplin, knit, melton | mixed | 3 | 3 | listing grid | no | margarethowell.co.uk | MARGARET HOWELL | NONE | NONE | NONE | NONE | cookie consent banner overlaps lower-left tile
B030-P008 | layer | double-breasted wool pea coat | felted wool | solid | 4 | 3 | flat packshot | yes | margarethowell.co.uk | NONE | REEFER COAT | NAVY | FELTED WOOL MELTON | CHF 1,450.00 | two colourway thumbnails; description says heavyweight felted wool
B030-P009 | layer | double-breasted wool pea coat | felted wool | solid | 4 | 3 | on model | yes | margarethowell.co.uk | MARGARET HOWELL | REEFER COAT | KHAKI | FIRM WOOL MELTON | CHF 1,450.00 | description text says heavyweight wool polyamide blend
B030-P010 | layer | double-breasted wool pea coat | felted wool | solid | 4 | 3 | flat packshot | yes | margarethowell.co.uk | NONE | REEFER COAT | KHAKI | FIRM WOOL MELTON | CHF 1,450.00 | two flat shots stacked; second shows cotton lining
B031-P001 | accessory | narrow ribbed knit scarf | ribbed knit | solid | 3 | 2 | flat packshot | yes | margarethowell.co.uk | MARGARET HOWELL | NARROW RIBBED SCARF | DARK NAVY | CHAIN CASHMERE | CHF 225.00 | three colourway thumbnails; detail crop below main image
B031-P002 | top | crew neck flecked wool jumper | flecked wool knit | marl | 3 | 2 | on model | yes | margarethowell.co.uk | MARGARET HOWELL | DONEGAL CREW NECK JUMPER | MOUSE | SOFT DONEGAL WOOL | CHF 375.00 | two colourway thumbnails; description mentions Donegal spun merino wool
B031-P003 | top | oversized V-neck chunky jumper | chunky knit | solid | 4 | 2 | on model | yes | margarethowell.co.uk | MARGARET HOWELL | OVERSIZE V NECK JUMPER | NAVY | SOFT CASHMERE WOOL | CHF 665.00 | sizes 6 and 16 struck through as unavailable
B031-P004 | top | oversized V-neck chunky jumper | chunky knit | solid | 4 | 2 | flat packshot | yes | margarethowell.co.uk | NONE | OVERSIZE V NECK JUMPER | NAVY | SOFT CASHMERE WOOL | CHF 665.00 | sizes 6 and 16 struck through as unavailable
B031-P005 | top | crew neck knit jumper | fine wool knit | marl | 3 | 2 | on model | yes | margarethowell.co.uk | MARGARET HOWELL | SHORT CLASSIC CREW NECK JUMPER | KHAKI / CHARCOAL TWIST | MERINO CASHMERE TWIST | CHF 455.00 | two colourway thumbnails; white shirt layered underneath
B031-P006 | top | crew neck knit jumper | fine wool knit | marl | 3 | 2 | flat packshot | yes | margarethowell.co.uk | NONE | SHORT CLASSIC CREW NECK JUMPER | KHAKI / CHARCOAL TWIST | MERINO CASHMERE TWIST | CHF 455.00 | front and back flat shots stacked in frame
B031-P007 | top | crew neck knit jumper | fine wool knit | solid | 3 | 2 | on model | yes | margarethowell.co.uk | MARGARET HOWELL | SHORT CLASSIC CREW NECK JUMPER | PHEASANT | MERINO CASHMERE | CHF 455.00 | second colourway of the khaki jumper page
B031-P008 | top | crew neck knit jumper | fine wool knit | solid | 3 | 2 | flat packshot | yes | margarethowell.co.uk | NONE | SHORT CLASSIC CREW NECK JUMPER | PHEASANT | MERINO CASHMERE | CHF 455.00 | brand wordmark scrolled out of frame; flat shots stacked
