B023-P004 | multiple | grid of black dresses, trousers, knitwear | satin, jersey, chiffon, wool | mixed | 2 | 4 | listing grid | no | MaxMara | SPORTMAX | NONE | NONE | NONE | NONE | grid rows cropped; prices 919,00 € to 265,00 € shown
B023-P017 | multiple | grid of puffer, fair isle knit, shacket | nylon, fair isle knit, brushed wool, jersey | mixed | 3 | 2 | listing grid | no | CLOSED | CLOSED | NONE | NONE | NONE | NONE | AI-CREATED watermarks; CHF90.00 to CHF420.00
B024-P001 | multiple | grid of sweatpants, t-shirt, denim shirt, jeans | jersey, waffle knit, denim, french terry | mixed | 2 | 1 | listing grid | no | CLOSED | CLOSED | NONE | NONE | NONE | NONE | AI-CREATED watermarks on three tiles; CHF130.00 to CHF330.00
B024-P002 | multiple | grid of denim outerwear, jumper, shirts, shorts | denim, wool knit, poplin, check cotton | mixed | 2 | 2 | listing grid | no | CLOSED | CLOSED | NONE | NONE | NONE | NONE | AI-CREATED watermark; CHF70.00 to CHF380.00
B024-P003 | multiple | grid of knits, jeans, shirt dress, cardigan | brushed mohair-look knit, denim, check wool | mixed | 3 | 2 | listing grid | no | CLOSED | CLOSED | NONE | NONE | NONE | NONE | six captioned tiles CHF70.00 to CHF320.00; bottom row cropped
B024-P004 | multiple | grid of shearling jacket, striped jumper, jeans | smooth leather, shearling, wool knit, denim | mixed | 4 | 2 | listing grid | no | CLOSED | CLOSED | NONE | NONE | NONE | NONE | CHF240.00 to CHF1,930.00; bottom row cropped
B024-P005 | multiple | grid of cotton blouses, t-shirts, jeans | poplin, jersey, denim, striped jersey | mixed | 1 | 2 | listing grid | no | CLOSED | CLOSED | NONE | NONE | NONE | NONE | AI-CREATED watermarks on five tiles; CHF60.00 to CHF290.00
B024-P006 | multiple | grid of caban jacket, bomber, jeans, knits | melton wool, nylon, denim, cashmere-look knit | mixed | 3 | 2 | listing grid | no | CLOSED | CLOSED | NONE | NONE | NONE | NONE | AI-CREATED watermark; CHF100.00 to CHF630.00
B024-P007 | multiple | grid of jeans, jumper, wide trousers | denim, brushed knit, crepe | mixed | 2 | 2 | listing grid | no | CLOSED | CLOSED | NONE | NONE | NONE | NONE | page 2 of 3 pagination and footer visible; top row cropped
B024-P008 | multiple | grid of roll-neck, corduroy pants, jeans, t-shirt | wool knit, corduroy, denim, jersey, nylon | mixed | 2 | 2 | listing grid | no | CLOSED | CLOSED | NONE | NONE | NONE | NONE | 108 items header and tab bar visible; CHF60.00 to CHF290.00
B024-P009 | multiple | grid of cardigan, jersey pants, bag, knits | fine knit, jersey, denim, wool knit | mixed | 2 | 2 | listing grid | no | CLOSED | CLOSED | NONE | NONE | NONE | NONE | top row cropped; CHF60.00 to CHF290.00
B025-P001 | top | ribbed thermal long-sleeve top | waffle thermal knit | solid | 2 | 1 | on model | yes | merzbschwanen.com | Merz b. Schwanen | DIAMOND-PATTERNED COTTON THERMAL WOMEN'S LONGSLEEVE | 02 - Nature | 100% organic cotton | CHF 120.00 | RESTOCK tag, four colour swatches, size row, Translate page banner
B025-P002 | top | knitted-collar v-neck polo sweater | fine wool knit | solid | 2 | 2 | flat packshot | yes | merzbschwanen.com | Merz b. Schwanen | MERINO WOOL-CASHMERE-SILK V-NECK SWEATER | 51 - Dark Navy | MERINO WOOL-CASHMERE-SILK | CHF 195.00 | three colour swatches and size row; thumbnail strip at left
B025-P003 | top | lightweight raglan crew-neck sweater | fine brushed knit | solid | 2 | 2 | on model | yes | merzbschwanen.com | Merz b. Schwanen | LIGHTWEIGHT MERINO WOOL-CASHMERE-SILK RAGLAN SWEATER | 39 - Rosewood | MERINO WOOL-CASHMERE-SILK | CHF 160.00 | eleven colour swatches and size row; German description text
B025-P004 | multiple | grid of raglan sweaters and oxford shirts | fine knit, oxford cotton | solid | 2 | 2 | listing grid | no | merzbschwanen.com | Merz b. Schwanen | Lightweight Merino Wool-Cashmere-Silk Raglan Sweater | NONE | Merino Wool-Cashmere-Silk | CHF 160.00 | six colourways of one sweater; shirts below; NEU and RESTOCK tags
B025-P005 | multiple | grid of oxford shirts, chino trousers, gilets | oxford cotton, cotton twill, crinkled cotton | mixed | 2 | 2 | listing grid | no | merzbschwanen.com | Merz b. Schwanen | NONE | NONE | NONE | NONE | NEU, RESTOCK, COMING SOON tags; CHF 165.00 to CHF 200.00
B025-P006 | multiple | grid of t-shirts, longsleeves, polo knit | jersey, ribbed knit, merino knit | solid | 1 | 1 | listing grid | no | merzbschwanen.com | Merz b. Schwanen | NONE | NONE | NONE | NONE | COMING SOON and AUSVERKAUFT tags; CHF 60.00 to CHF 165.00
