B031-P009 | accessory | knitted wool hood balaclava | felted wool knit | solid | 3 | 1 | flat packshot | yes | MARGARET HOWELL | MHL. | MHL. FELTED HOOD LAMBSWOOL | CHOCOLATE | fabricated in wool | CHF 97.90 | three colourway thumbnails, size OS, margarethowell.co.uk in URL bar
B034-P003 | multiple | navy blouse, khaki mac coat, blazer, t-shirt | mixed | mixed | 3 | 3 | listing grid | no | A.P.C. | A.P.C. | NONE | NONE | NONE | NONE | tiles BLOUSE BLEU MARINE À COL NOEUD 290.00 EUR, MAC KAKI EN LAINE DÉPERLANTE 650.00 EUR
B034-P004 | multiple | t-shirt, pleated skirt, ballet flats, wool peacoat | mixed | mixed | 3 | 2 | listing grid | no | A.P.C. | A.P.C. | NONE | NONE | NONE | NONE | tiles 90.00 EUR, 290.00 EUR, 195.00 EUR, Laine - Bleu marine. 690.00 EUR
B035-P001 | layer | double-breasted wool peacoat | felted wool melton | solid | 4 | 3 | on model | yes | A.P.C. | A.P.C. | NONE | NONE | NONE | NONE | knitted bucket hat styled, browser tab reads Caban en, translate prompt
B035-P002 | layer | double-breasted wool peacoat | felted wool melton | solid | 4 | 3 | flat packshot | yes | A.P.C. | A.P.C. | CABAN EN LAINE RECYCLÉE. | DARK NAVY | NONE | NONE | breadcrumb COLLECTION FALL 26 FEMME, colour line partly cut at page bottom
B035-P003 | layer | double-breasted wool peacoat | felted wool melton | solid | 4 | 3 | flat packshot | no | A.P.C. | A.P.C. | CABAN EN LAINE RECYCLÉE. | DARK NAVY | Laine - Bleu marine. | 690.00 € | only coat hem in frame, sizes 34-42 with 34 36 38 greyed out
B035-P004 | layer | double-breasted wool peacoat | felted wool melton | solid | 4 | 3 | flat packshot | no | A.P.C. | A.P.C. | CABAN EN LAINE RECYCLÉE. | DARK NAVY | 70% laine. 30% polyamide. | 690.00 € | composition panel open, also Matière italienne and Made in Romania
B036-P001 | multiple | leather bag, waxed cotton jacket, workwear jacket, skirt | mixed | mixed | 2 | 2 | listing grid | no | A.P.C. | A.P.C. | NONE | NONE | NONE | NONE | tiles SAC SIMONE 550.00 EUR, VESTE DE PLUIE KAKI EN COTON CIRÉ 390.00 EUR
B036-P002 | multiple | workwear jacket, ribbed tank, denim skirt, striped polo | mixed | mixed | 2 | 2 | listing grid | no | A.P.C. | A.P.C. | NONE | NONE | NONE | NONE | tiles VESTE WORKWEAR EN DENIM RECYCLÉ 310.00 EUR and Coton bio - Blanc. 90.00 EUR
B036-P003 | multiple | quilted puffer jacket, t-shirt, sweatshirt, patent bag | mixed | mixed | 3 | 2 | listing grid | no | A.P.C. | A.P.C. | NONE | NONE | NONE | NONE | tiles BLOUSON JULIE 490.00 EUR and Coton bio - Blanc cassé. 90.00 EUR
B036-P004 | multiple | black shirt dress, long skirt, denim jacket, knit cardigan | mixed | mixed | 2 | 2 | listing grid | no | A.P.C. | A.P.C. | NONE | NONE | NONE | NONE | tiles ROBE NOIRE EN MOLESKINE 310.00 EUR, JUPE LONGUE EN COTON BIO NOIR 240.00 EUR
B036-P005 | multiple | brown jumper on model, blue-grey t-shirt, cardigans | mixed | mixed | 2 | 2 | listing grid | no | A.P.C. | A.P.C. | NONE | NONE | NONE | NONE | tiles PULL AMPLE MARRON TAUPE 290.00 EUR, T-SHIRT BLEU GRIS À LOGO 90.00 EUR
B036-P006 | multiple | taupe knit cardigan, ribbed tee, striped shirt, trousers | mixed | mixed | 2 | 2 | listing grid | no | A.P.C. | A.P.C. | NONE | NONE | NONE | NONE | tiles CARDIGAN TAUPE EN LAINE ALPAGA 320.00 EUR and Coton bio - Blanc. 120.00 EUR
B036-P007 | multiple | zip cardigan, denim culottes, roll-neck jumpers | mixed | mixed | 3 | 2 | listing grid | no | soeur | soeur | NONE | NONE | NONE | NONE | tiles JASPER CHF 495.00 and HARRISON CHF 215.00, colour swatch rows under each
B036-P008 | multiple | sleeveless zip cardigan, wool skirt-culotte, fine knits | mixed | mixed | 3 | 2 | listing grid | no | soeur | soeur | NONE | NONE | NONE | NONE | tiles KRISTEN CHF 380.00, JUDE CHF 310.00, KHLOE CHF 260.00, KYO CHF 205.00
B036-P009 | multiple | striped shirt, ecru jeans, camel cashmere jacket, knit | mixed | mixed | 3 | 2 | listing grid | no | soeur | soeur | NONE | NONE | NONE | NONE | tiles HARRISON CHF 215.00, WINDSOR CHF 640.00, one tile badged WEB EXCLUSIVE
B037-P001 | layer | zipped high-neck ribbed knit cardigan | ribbed knit | solid | 3 | 2 | flat packshot | yes | ch.soeur.fr | NONE | NONE | NONE | NONE | NONE | zoomed full-screen gallery image, browser tab reads Jasper Ja
B037-P002 | layer | oversized zipped cardigan english rib | ribbed knit | solid | 3 | 2 | on model | yes | soeur | soeur | CARDIGAN OVERSIZED IN ENGLISH RIB | navy | NONE | CHF 495.00 | style name JASPER, two colour swatches, complete-the-look Bermuda Joyce and Boots Livia
