B071-P002 | multiple | knit jumpers listing grid | brushed knit | mixed | 3 | 2 | listing grid | no | careofcarl.ch | STONE ISLAND; HARLEY OF SCOTLAND; HARLEY OF SCOTLAND FOR CARE OF CARL | NONE | NONE | NONE | NONE | layout=grid; 9 full tiles, prices CHF 170-CHF 420, sizes shown; tab "Pullover bei Ca..."
B073-P001 | top | V-neck knit jumper | fine knit | solid | 2 | 2 | flat packshot | yes | UNIQLO | UNIQLO | 100% Cashmere V Neck Jumper | 57 OLIVE | 100% cashmere | 89,90 € | layout=centred; swatches=10 circle, 57 OLIVE; image shows beige garment, not olive swatch; Product ID 485328
B073-P002 | top | long-sleeve knit polo jumper | soft knit | solid | 2 | 2 | flat packshot | yes | UNIQLO | UNIQLO | Soufflé Yarn Polo Jumper | 10 PINK | NONE | 39,90 € | layout=centred; swatches=5 circle, 10 PINK; image shows brown/olive garment, not pink; Unisex; ID 487939
B073-P003 | layer | crew-neck button cardigan | fine knit | solid | 2 | 2 | flat packshot | yes | UNIQLO | UNIQLO | 100% Merino Crew Neck Cardigan | 32 BEIGE | 100% merino wool | 39,90 € | layout=stacked; swatches=10 circle, 32 BEIGE; image shows grey garment, not beige; ID 485304
B073-P004 | top | ribbed knit polo jumper | ribbed knit | solid | 2 | 2 | flat packshot | yes | UNIQLO | UNIQLO | 3D Knit Seamless Merino Blend Ribbed Polo Jumper | 14 RED | Merino Blend; Merino-blend | 39,90 € | layout=stacked; swatches=5 circle, 14 RED; image shows brown garment, not red; on-model crop above; ID 485321
B073-P005 | top | ribbed turtleneck jumper | ribbed knit | solid | 2 | 2 | flat packshot | yes | UNIQLO | UNIQLO | 100% Merino Ribbed Turtleneck Jumper | 15 RED | 100% Merino; 100% smooth, 19.5-micron extra-fine Merino wool | 39,90 € | layout=stacked; swatches=13 circle, 15 RED; selected swatch darker than bright red image; ID 485305
B073-P006 | top | crew-neck sweatshirt-style jumper | smooth knit | solid | 2 | 1 | flat packshot | yes | UNIQLO | UNIQLO | Smooth Cotton Crew Neck Jumper | 19 WINE | Cotton | 39,90 € | layout=stacked; swatches=9 circle, 19 WINE; multi-colour flat lay above; UNIQLO : C label; Unisex
B073-P007 | top | long-sleeve hooded henley T-shirt | ribbed jersey | solid | 1 | 1 | flat packshot | yes | UNIQLO | UNIQLO | Hoodie T-Shirt (Long Sleeve) | 03 GREY | NONE | 19,90 € | layout=stacked; swatches=6 circle, 03 GREY; on-model black crop above; ID 488298
B073-P008 | base | long-sleeve turtleneck base layer | jersey | solid | 1 | 1 | flat packshot | yes | UNIQLO | UNIQLO | HEATTECH Extra Warm Cashmere Blend Turtleneck T-Shirt (Long Sleeve) | 10 PINK | Cashmere Blend | 24,90 € | layout=stacked; swatches=14 circle, 10 PINK; image shows dark brown garment, not pink; ID 485825
B073-P009 | top | short-sleeve crew-neck T-shirt | cotton jersey | solid | 1 | 1 | flat packshot | yes | UNIQLO | UNIQLO | Crew Neck T-Shirt | 32 BEIGE | NONE | 14,90 € | layout=stacked; swatches=13 circle, 32 BEIGE; multi-colour flat lay above; image shows off-white; UNIQLO U label
B073-P010 | top | short-sleeve crew-neck T-shirt | cotton jersey | solid | 1 | 1 | flat packshot | yes | UNIQLO | UNIQLO | 100% Supima Cotton T-Shirt | 00 WHITE | 100% Supima Cotton | 9,90 € | layout=stacked; swatches=7 circle, 00 WHITE; image shows mauve, not white; reduced from 14,90 €; S out of stock
B074-P001 | top | oversized button-up shirt | satin-look sheen | solid | 1 | 3 | on model | yes | shopmy.us | Reformation | Eli Oversized Shirt | NONE | NONE | NONE | layout=other (on-model, thumbnail right); phone screenshot via Instagram, not iPad; category "Tops"; worn with pale trousers
