path,folder,type,what_it_shows,colour_words,brand_legible,composition,styled_how,open_note,hex1,share1,hex2,share2,hex3,share3,hex4,share4,hex5,share5,nearest_soft_autumn_anchor,anchor_delta_e,palette_confidence,confidence_reason,skin_share,subject_share,shortlist,suggested_name,width,height,bytes,format,opened
content/swipe/fashion shows ss27/IMG_0166.png,content/swipe/fashion shows ss27,visual,"Black wrapped hooded top over grey tee, worn grey denim mini, olive tall boots","Black and washed grey with red belt flash and olive boots, cool with one hot accent",,,"Wrapped cropped top over very short skirt, long boots to the knee, slouchy black bag",Thin red belt at the waist anchors an otherwise grey outfit,7C7D7B,0.367,101010,0.25,A5AFB2,0.139,3D342E,0.129,EEF6F9,0.115,warm mid grey,6.4,high,,0.052,0.948,yes,,1908,2746,7055094,PNG,opened_reduced
content/swipe/fashion shows ss27/IMG_0802.png,content/swipe/fashion shows ss27,visual,Vogue runway page: red long-sleeve top and skirt against a painted cloud backdrop,,Vogue,,,,989AA8,0.263,CFC3BC,0.242,6E6B6E,0.191,B23938,0.177,2B292B,0.127,warm mid grey,15.0,high,,0.03,0.665,no,,1908,2746,3258981,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0803.png,content/swipe/fashion shows ss27,visual,Runway look: white strapless column dress with dark boots,,,,,,342E2D,0.363,C1B4AA,0.302,E6E1E1,0.195,6B5F5E,0.136,,,warm charcoal,3.6,high,,0.054,0.545,no,,1908,2746,2522381,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0804.png,content/swipe/fashion shows ss27,visual,"Green beaded camisole with draped ivory trousers and fringed sash, painterly backdrop","Deep emerald green against warm ivory, pastel blue-pink backdrop, wide lightness gap",,,"Narrow strappy top against draped, gathered lower half; fringe at hem adds length and movement",Small saturated top over a big pale bottom half puts all attention on the waist,7A7D86,0.293,434547,0.289,B9AEA7,0.228,E3DDD9,0.146,C29F7D,0.044,warm mid grey,11.2,high,,0.041,0.589,yes,,1908,2746,2974527,PNG,opened_reduced
content/swipe/fashion shows ss27/IMG_0805.png,content/swipe/fashion shows ss27,visual,Runway look: black tank with a dark green textured long skirt,,,,,,252625,0.337,8E8576,0.25,B6AD9F,0.158,4F4935,0.149,626363,0.106,warm charcoal,6.4,medium,background dominates frame,0.08,0.394,no,,1908,2746,2521299,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0806.png,content/swipe/fashion shows ss27,visual,Runway look: black strapless full-length column dress,,,,,,DAD1C1,0.526,9C9384,0.207,212427,0.207,62544B,0.035,,,stone,1.8,medium,top cluster 53% — may still be a studio backdrop,0.032,0.587,no,,1908,2746,1911570,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0807.png,content/swipe/fashion shows ss27,visual,Runway look: olive green strapless dress with a slit,,,,,,CEC6B7,0.4,6B6553,0.229,928B79,0.216,383531,0.135,,,stone,2.4,high,,0.044,0.595,no,,1908,2746,3077335,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0808.png,content/swipe/fashion shows ss27,visual,Runway look: grey trench over a pale yellow textured long skirt,,,,,,C5BEAE,0.52,766F61,0.206,E1C789,0.166,393532,0.093,,,stone,4.6,medium,top cluster 52% — may still be a studio backdrop,0.023,0.613,no,,1908,2746,2771786,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0809.png,content/swipe/fashion shows ss27,visual,Runway look: mauve-brown tank with a matching wrapped long skirt,,,,,,D0C7B9,0.328,71695D,0.231,A19687,0.191,342F2E,0.133,69413E,0.117,stone,1.9,medium,skin band 6%,0.061,0.585,no,,1908,2746,3205974,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0810.png,content/swipe/fashion shows ss27,format,Vogue collection page: opening paragraph above a six-thumbnail look gallery grid,,Vogue,,,,736451,0.357,493D2C,0.311,171615,0.181,BFAF8F,0.094,BC4E42,0.057,warm mid grey,12.7,high,,0.03,0.689,no,,1908,2746,4346579,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0811.png,content/swipe/fashion shows ss27,visual,"vogue.com runway gallery: black jacket over a yellow checked full skirt, arched hall","black against butter-yellow check, wide value gap",,,cropped structured jacket over a wide gathered skirt,"the check holds both colours, so the pair never has to be justified",796A57,0.359,4E402B,0.255,282727,0.187,876336,0.112,BAA47A,0.087,warm mid grey,10.4,high,,0.029,0.626,yes,,1908,2746,3880437,PNG,opened_reduced
content/swipe/fashion shows ss27/IMG_0812.png,content/swipe/fashion shows ss27,visual,Runway look: bright yellow jacket over a dark and cream skirt,,,,,,594B38,0.372,866F55,0.321,2B2824,0.185,C6B7A5,0.07,C4B24F,0.052,chocolate,7.5,high,,0.027,0.665,no,,1908,2746,3492317,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0813.png,content/swipe/fashion shows ss27,visual,Runway look: black sleeveless top with a full black midi skirt,,,,,,72624C,0.364,493C27,0.282,9C8969,0.162,484B4D,0.114,865D38,0.078,warm mid grey,13.7,high,,0.016,0.493,no,,1908,2746,3274208,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0814.png,content/swipe/fashion shows ss27,visual,"Runway look: tan jacket over a long dark skirt, arched colonnade backdrop",,,,,,796855,0.333,51422C,0.228,262525,0.17,A79074,0.157,9F6632,0.112,warm mid grey,11.2,high,,0.013,0.649,no,,1908,2746,3370377,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0815.png,content/swipe/fashion shows ss27,visual,Runway look: brown jacket over a pale gold patterned long dress,,,,,,52432C,0.276,2C2622,0.235,806C50,0.205,BFA788,0.172,635D55,0.113,chocolate,6.2,high,,0.019,0.658,no,,1908,2746,3728968,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0816.png,content/swipe/fashion shows ss27,format,Vogue collection page: text column above a six-thumbnail gallery of blue and white looks,,Vogue,,,,A3907B,0.425,1B1B19,0.25,58402D,0.181,D3D1C9,0.124,,,warm taupe,2.3,high,,0.026,0.614,no,,1908,2746,3277401,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0817.png,content/swipe/fashion shows ss27,visual,Runway look: black turtleneck with a white wrapped midi skirt and bag,,,,,,B39F88,0.504,624630,0.176,2B2927,0.158,CDCECE,0.09,F8F2E5,0.072,warm taupe,3.4,medium,top cluster 50% — may still be a studio backdrop,0.032,0.597,no,,1908,2746,2269886,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0818.png,content/swipe/fashion shows ss27,visual,Runway look: black jacket and cropped trousers with a blue strap detail,,,,,,AE9B85,0.343,262A2D,0.226,86715A,0.185,442E1C,0.169,F3EBDD,0.077,warm taupe,2.3,high,,0.029,0.587,no,,1908,2746,2438569,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0819.png,content/swipe/fashion shows ss27,visual,Runway look: white sleeveless column dress,,,,,,AC9C88,0.354,86715A,0.194,472F1C,0.188,DADFDC,0.177,323332,0.087,warm taupe,2.9,high,,0.058,0.57,no,,1908,2746,2501114,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0820.png,content/swipe/fashion shows ss27,visual,"Bright blue blazer over pale yellow shirt, white wide-leg trousers, thin belt","Vivid azure blue with soft butter yellow and white; one loud colour, two quiet",,,"Structured shoulder blazer open over soft shirt; trousers wide and long, belt marks the waist",A single strong colour on the jacket makes plain white trousers look deliberate,B1A08B,0.352,89755F,0.207,413124,0.198,E1E3DD,0.157,078CD2,0.086,warm taupe,3.7,high,,0.021,0.611,yes,,1908,2746,2431406,PNG,opened_reduced
content/swipe/fashion shows ss27/IMG_0821.png,content/swipe/fashion shows ss27,visual,Runway look: pale taupe layered top and trousers in a sunlit hall,,,,,,BBA994,0.416,937E66,0.259,553B26,0.152,322D28,0.108,F4F0E3,0.065,warm taupe,6.3,high,,0.041,0.594,no,,1908,2746,2550995,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0822.png,content/swipe/fashion shows ss27,visual,Runway look: black sleeveless floor-length dress,,,,,,B29F89,0.328,2C2C2B,0.22,92765E,0.214,5B3B26,0.18,F3EDE0,0.058,warm taupe,3.4,high,,0.013,0.562,no,,1908,2746,2774656,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0823.png,content/swipe/fashion shows ss27,visual,Runway look: long black coat with a blue scarf over a white skirt,,,,,,B4A28D,0.308,21262B,0.296,8E785F,0.172,4C321F,0.169,E1E1D7,0.055,warm taupe,4.3,high,,0.026,0.586,no,,1908,2746,2473747,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0824.png,content/swipe/fashion shows ss27,visual,"Runway look: black sleeveless jumpsuit, minimal styling",,,,,,AC957C,0.258,D5C6B1,0.255,202120,0.191,492F1D,0.178,755B44,0.118,warm taupe,1.8,high,,0.007,0.586,no,,1908,2746,2131075,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0825.png,content/swipe/fashion shows ss27,visual,"Pale ice-blue long coat over matching-tone blue denim shirt and shorts, cream accessories","Three steps of pale blue with cream, very close hues, tiny lightness gaps",,,"Long straight coat over short shorts, tailored over casual; small cream bag and flat shoes",Tonal dressing shown as steps of one colour rather than one flat shade,B7A691,0.305,917B64,0.212,C6D4D4,0.185,5A3D29,0.176,322D29,0.122,warm taupe,5.4,high,,0.023,0.602,yes,,1908,2746,2465912,PNG,opened_reduced
content/swipe/fashion shows ss27/IMG_0826.png,content/swipe/fashion shows ss27,visual,Runway look: white short-sleeve top with a long cream column skirt,,,,,,B5A48E,0.36,907B63,0.197,503520,0.172,DDD9CE,0.156,322E29,0.115,warm taupe,4.7,high,,0.032,0.597,no,,1908,2746,2459651,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0827.png,content/swipe/fashion shows ss27,visual,"Runway look: pale yellow cardigan, mint trousers, black shoulder bag",,,,,,A99781,0.331,D4D0BE,0.251,432C19,0.167,836F58,0.16,343331,0.091,warm taupe,1.3,high,,0.023,0.606,no,,1908,2746,2372723,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0828.png,content/swipe/fashion shows ss27,visual,Runway look: cream blazer over pale blue trousers with a dark bag,,,,,,A4927B,0.486,53483E,0.151,412917,0.149,E0E1DB,0.145,8BA9AE,0.07,warm taupe,1.2,medium,top cluster 49% — may still be a studio backdrop,0.022,0.607,no,,1908,2746,2582054,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0829.png,content/swipe/fashion shows ss27,visual,Runway look: dark brown long coat with white socks and a small bag,,,,,,B19D87,0.403,302A29,0.277,6C625A,0.143,50331E,0.122,E9E4DB,0.055,warm taupe,3.0,high,,0.008,0.676,no,,1908,2746,2596220,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0830.png,content/swipe/fashion shows ss27,visual,Runway look: white strapless top with a long white skirt,,,,,,BBAA96,0.326,A28567,0.218,343536,0.171,63432D,0.154,DFDFDA,0.131,warm taupe,6.6,high,,0.028,0.666,no,,1908,2746,2313922,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0831.png,content/swipe/fashion shows ss27,visual,Runway look: black turtleneck with a pale pink wrapped skirt,,,,,,C5B49F,0.329,323030,0.252,A0886F,0.174,613F2A,0.162,E3CDD0,0.083,stone,7.8,high,,0.021,0.663,no,,1908,2746,2448498,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0832.png,content/swipe/fashion shows ss27,visual,Runway look: black strapless mid-calf dress,,,,,,A38F75,0.265,CCBEAB,0.264,242525,0.248,583C26,0.172,5F6163,0.051,warm taupe,2.0,high,,0.06,0.635,no,,1908,2746,2677977,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0833.png,content/swipe/fashion shows ss27,visual,Runway look: white slip-style dress with an asymmetric hem,,,,,,AC9C87,0.314,816F5C,0.222,DCDFDD,0.174,503623,0.158,29292A,0.132,warm taupe,2.7,high,,0.045,0.649,no,,1908,2746,2014551,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0834.png,content/swipe/fashion shows ss27,format,Vogue collection page: pull-quote above a six-thumbnail gallery of beige and rust looks,,Vogue,,,,CECCC6,0.365,9C938A,0.211,100C0F,0.178,423C3F,0.158,864233,0.088,stone,3.5,medium,skin band 11%,0.106,0.543,no,,1908,2746,10303690,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0835.png,content/swipe/fashion shows ss27,visual,Runway look: camel knit with a wrapped waist detail over wide trousers,,,,,,BDAF9E,0.317,282729,0.253,DAE0E4,0.229,835841,0.107,626771,0.095,warm taupe,8.3,low,skin band 20% — overlaps dusty rose / salmon,0.204,0.511,no,,1908,2746,4592656,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0836.png,content/swipe/fashion shows ss27,visual,vogue.com runway gallery: stone-greige double-breasted suit with a rust raffia bucket bag and brown shoes,stone-greige with one rust accent,,,"oversized shoulder, long lapel, wide trouser breaking over a flat brown shoe",a neutral suit plus one accent is the corporate version of the whole system,C0B8AF,0.414,2F2B2E,0.234,E7EAEC,0.153,747071,0.121,844B30,0.078,stone,5.7,medium,skin band 11%,0.109,0.579,no,,1908,2746,3745158,PNG,opened_reduced
content/swipe/fashion shows ss27/IMG_0837.png,content/swipe/fashion shows ss27,visual,Runway look: stone-grey shirt and matching trousers,,,,,,DEDBD9,0.511,332C2C,0.19,B59B8A,0.171,79878A,0.108,,,stone,5.6,medium,skin band 10%; top cluster 51% — may still be a studio backdrop,0.096,0.601,no,,1908,2746,3739618,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0838.png,content/swipe/fashion shows ss27,visual,"vogue.com runway gallery: strapless oxblood satin top with a trailing panel over rust silk wide trousers, rust raffia clutch, flat sandals","oxblood against brick rust; one hue family, two values, nothing else",,,"short stiff top half, long fluid bottom half, one trailing panel breaking the line",two reds a value step apart read as considered where one red would read as a costume,BDB9AC,0.301,84382A,0.239,2D2629,0.2,EBECEE,0.156,767171,0.104,stone,6.0,medium,skin band 7%,0.07,0.613,yes,,1908,2746,3668656,PNG,opened_reduced
content/swipe/fashion shows ss27/IMG_0839.png,content/swipe/fashion shows ss27,visual,Runway look: terracotta sleeveless top with a matching midi skirt,,,,,,B8B2A8,0.319,2D292F,0.215,9A4940,0.164,E4E8ED,0.158,776C6A,0.144,stone,7.3,medium,skin band 9%,0.09,0.599,no,,1908,2746,3824399,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0840.png,content/swipe/fashion shows ss27,visual,Runway look: dark dress with a large check pattern and a black bag,,,,,,BAB7AF,0.315,2B2930,0.298,E7EBEF,0.155,777476,0.126,7A4936,0.106,stone,6.6,medium,skin band 8%,0.082,0.595,no,,1908,2746,4311929,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0841.png,content/swipe/fashion shows ss27,visual,"Runway look: long black jacket over dark trousers, dark shoes",,,,,,2C2A32,0.358,B5B0A6,0.303,E1E6EB,0.129,6E6F75,0.109,845339,0.101,warm charcoal,8.6,medium,skin band 6%,0.063,0.577,no,,1908,2746,3884230,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0842.png,content/swipe/fashion shows ss27,visual,Runway look: fitted black jacket and slim black trousers,,,,,,DFDAD6,0.366,2B2A32,0.333,9A8B81,0.174,91B1B0,0.084,774A39,0.043,stone,4.6,high,,0.055,0.628,no,,1908,2746,3718463,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0843.png,content/swipe/fashion shows ss27,visual,"vogue.com runway gallery: rust buttoned cardigan with a matching rust wrap midi skirt, oxblood leather tote, taupe pumps",head-to-toe rust with an oxblood bag and taupe shoe,,,"knit-on-knit, cardigan and skirt in one colour, wrap front with a slit","a monochrome outfit that works because three surfaces differ, not three colours",D4D3CD,0.41,888985,0.201,2A292F,0.176,9F3F2C,0.141,5E3326,0.073,stone,3.9,high,,0.058,0.62,yes,,1908,2746,3770993,PNG,opened_reduced
content/swipe/fashion shows ss27/IMG_0844.png,content/swipe/fashion shows ss27,visual,Runway look: black long-sleeve top with a pale checked fringed skirt,,,,,,D3CEC9,0.385,2A272C,0.3,887B75,0.165,88AAAA,0.079,834E37,0.071,stone,3.2,high,,0.054,0.595,no,,1908,2746,4044270,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0845.png,content/swipe/fashion shows ss27,visual,"Runway look: pale yellow top, dark trousers, large tan tote",,,,,,BDAFA0,0.39,2B272B,0.234,DAE0E5,0.149,81543C,0.116,6F7078,0.11,stone,8.2,high,,0.059,0.584,no,,1908,2746,3881259,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0846.png,content/swipe/fashion shows ss27,visual,Runway look: cream top with dark voluminous trousers,,,,,,E6E1DD,0.343,28262D,0.261,B9B4A8,0.24,6B6B73,0.09,87533B,0.067,stone,5.7,medium,skin band 6%,0.065,0.597,no,,1908,2746,3853496,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0847.png,content/swipe/fashion shows ss27,visual,Runway look: grey long dress with a fringed hem,,,,,,E9E7E3,0.299,BEB8AC,0.235,7F7A83,0.207,2F2C31,0.196,87533B,0.063,cream,6.4,high,,0.048,0.627,no,,1908,2746,4160120,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0848.png,content/swipe/fashion shows ss27,visual,Runway look: white sleeveless top with dark wide-leg trousers,,,,,,C8C0B1,0.326,F0EFEF,0.284,2A292F,0.244,6F7178,0.084,91604B,0.062,stone,3.8,medium,skin band 6%,0.061,0.608,no,,1908,2746,3315062,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0849.png,content/swipe/fashion shows ss27,visual,Runway look: black tank with a long dark brown skirt,,,,,,BBB8AA,0.294,ECEAE6,0.294,2C272B,0.238,655759,0.121,985E46,0.053,stone,6.6,high,,0.04,0.647,no,,1908,2746,3618120,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0850.png,content/swipe/fashion shows ss27,visual,"Black sleeveless dress with full gathered skirt, black gloves and cap, salon setting","Solid black against cream curtains and warm wood floor, one large dark mass",,,High neck and clean bodice exploding into a wide gathered skirt; gloves extend the dark line,"Silhouette does everything — no print, no colour, just a change of volume at the hip",29272D,0.369,E0DDD5,0.293,AFAB9E,0.157,844F33,0.098,65656B,0.083,warm charcoal,8.1,high,,0.057,0.566,yes,,1908,2746,3691813,PNG,opened_reduced
content/swipe/fashion shows ss27/IMG_0851.png,content/swipe/fashion shows ss27,visual,"Lilac long-sleeved dress with gold embroidery, gold garland, grey bag, teal backdrop","Lilac and gold against teal panels and rust floor; cool dress, hot surroundings",,,"Straight dress with dropped waist; heavy gold trail down one side, soft grey bag as relief","Backdrop colour does half the work, making the dress look richer than alone",087798,0.408,874339,0.225,2E2D32,0.17,9281C6,0.099,8E7F85,0.098,petrol,12.0,high,,0.016,0.613,yes,,1908,2746,2713864,PNG,opened_reduced
content/swipe/fashion shows ss27/IMG_0852.png,content/swipe/fashion shows ss27,visual,Runway look: coral printed long dress with a dark belt,,,,,,045F7F,0.456,673028,0.195,242B30,0.178,C96E65,0.111,6C6D72,0.06,petrol,7.3,medium,top cluster 46% — may still be a studio backdrop,0.048,0.648,no,,1908,2746,2505535,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0853.png,content/swipe/fashion shows ss27,visual,Runway look: brown belted coat with a patterned bag,,,,,,2F282C,0.307,275E7A,0.274,7B392F,0.236,0C3948,0.165,,,warm charcoal,7.3,high,,0.011,0.658,no,,1908,2746,2739229,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0854.png,content/swipe/fashion shows ss27,visual,"Runway look: grey-blue checked coat with a bag, sunglasses",,,,,,045976,0.299,252E36,0.277,622D25,0.149,535866,0.138,9E493D,0.137,petrol,6.4,high,,0.006,0.631,no,,1908,2746,2688341,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0855.png,content/swipe/fashion shows ss27,visual,Runway look: pale blue long coat with a patterned scarf,,,,,,0D5B81,0.297,33383E,0.248,8DA4BA,0.164,702918,0.152,AE4A31,0.14,petrol,9.6,high,,0.017,0.662,no,,1908,2746,2237482,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0856.png,content/swipe/fashion shows ss27,visual,Runway look: plum coat dress with a pale blue bag,,,,,,21536E,0.315,222D34,0.252,703128,0.252,834E6A,0.146,C3B0C0,0.035,petrol,7.3,high,,0.007,0.642,no,,1908,2746,2234722,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0857.png,content/swipe/fashion shows ss27,visual,Runway look: blue-grey shirt jacket over brown trousers,,,,,,076688,0.291,78382D,0.209,342D2D,0.196,6A6F80,0.153,094456,0.151,petrol,8.5,high,,0.002,0.678,no,,1908,2746,2733702,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0858.png,content/swipe/fashion shows ss27,visual,Runway look: brown double-breasted coat over tan trousers,,,,,,13698A,0.303,41393A,0.302,084153,0.159,602D21,0.151,9E574B,0.086,petrol,8.8,high,,0.037,0.653,no,,1908,2746,2049666,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0859.png,content/swipe/fashion shows ss27,visual,Runway look: grey jacket and matching skirt with a dark bag,,,,,,292B30,0.239,05506B,0.237,1C7B9F,0.198,7C3B2E,0.191,5B6269,0.135,warm charcoal,7.3,high,,0.014,0.648,no,,1908,2746,2850535,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0860.png,content/swipe/fashion shows ss27,visual,"vogue.com runway gallery (tab reads ""Tory Bur…""): ochre beaded-fringe sweater over a deep plum crackled midi skirt, plum beanie, chartreuse-gold sandals, teal backdrop, terracotta floor","ochre against plum against a teal wall — the reference opposition, on a set",,,heavy pile knit over a flat shiny skirt; hat and skirt share one colour,"the teal backdrop is doing half the work, which is exactly the thing to say out loud",0A3F55,0.26,693023,0.259,2E242A,0.236,056083,0.167,686F77,0.077,petrol,10.3,high,,0.011,0.652,yes,,1908,2746,2538422,PNG,opened_reduced
content/swipe/fashion shows ss27/IMG_0861.png,content/swipe/fashion shows ss27,visual,Runway look: pale coat with red trim and a patterned bag,,,,,,076384,0.265,76342B,0.238,314E5E,0.188,BEB0C0,0.159,27272B,0.151,petrol,7.9,high,,0.021,0.663,no,,1908,2746,3229802,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0862.png,content/swipe/fashion shows ss27,visual,"Long coat in black and ivory brushstroke print, red dress beneath, red bag, red shoes","Black and ivory print with strong red accents in bag, hem and shoes",,,Long coat open just enough to show red underneath; accessories repeat that red three times,"Neutral print plus one colour repeated three times reads as a plan, not chance",272528,0.383,635C60,0.303,D5CFC9,0.15,654339,0.133,AD4944,0.032,warm charcoal,7.2,high,,0.026,0.626,yes,,1908,2746,3467103,PNG,opened_reduced
content/swipe/fashion shows ss27/IMG_0863.png,content/swipe/fashion shows ss27,visual,"vogue.com runway gallery (tab reads ""Proenza""): black draped V-neck dress with a pale butter-yellow waist sash, deep burgundy draped panel, oxblood shoes",black with a butter-yellow band and two oxblood notes,,,the sash is the only light thing and it sits exactly at the waist,one pale band on a black dress is the entire styling decision,262427,0.441,645C60,0.325,60342E,0.142,D3C9C8,0.091,,,warm charcoal,7.4,high,,0.044,0.587,yes,,1908,2746,3055777,PNG,opened_reduced
content/swipe/fashion shows ss27/IMG_0864.png,content/swipe/fashion shows ss27,visual,"Long coat in red and black print over black trousers, white shoes, staircase behind","Hot red against black with white shoes; two colours, one bright break at the floor",,,"Same coat shape in a louder colourway, worn over trousers rather than a dress; hem falls long",Shows one garment in two colourways — useful for arguing colour changes everything,252327,0.411,635B60,0.295,653D36,0.111,C7C0C3,0.096,B0222C,0.089,warm charcoal,8.1,high,,0.01,0.624,yes,,1908,2746,3276630,PNG,opened_reduced
